epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total,zeta_hat,omega_0_hat
50,0.0,0.0026195612736046314,2.2498314137919806e-05,0.5917510390281677,0.0015347637236118317,0.4095739722251892,0.16368304193019867
100,0.0,0.0018004529410973191,6.121828391769668e-06,0.6232819557189941,0.0009614447480998933,0.453217476606369,0.18737511336803436
150,0.0,0.001219794969074428,1.6040733186173384e-08,0.669630765914917,0.0006100579048506916,0.5125823616981506,0.16681960225105286
200,0.0,0.0008396590128540993,4.837146683200899e-09,0.7141993641853333,0.00041987787699326873,0.5587314963340759,0.15174292027950287
250,0.0,0.0005895913927815855,1.905659852141639e-09,0.7540075778961182,0.0002948147593997419,0.5960964560508728,0.1392863243818283
300,0.0,0.0004216291708871722,2.0275137124770026e-09,0.788841962814331,0.00021083485626149923,0.6271491646766663,0.12947244942188263
350,0.0,0.0003058328584302217,2.3291211181941662e-09,0.8192148804664612,0.00015293972683139145,0.6537168025970459,0.1217917799949646
400,0.0,0.0002240933245047927,2.3826112194313964e-09,0.8457332849502563,0.0001120704910135828,0.6770020723342896,0.1157885268330574
450,0.0,0.0001654082880122587,2.2079365002980467e-09,0.8689435720443726,8.27262265374884e-05,0.6977968811988831,0.11108405143022537
500,0.0,0.0001228930486831814,1.8996926254288837e-09,0.889285683631897,6.146552186692134e-05,0.7166241407394409,0.10738253593444824
550,0.0,9.204306843457744e-05,1.5466758984672424e-09,0.9070960879325867,4.6036999265197664e-05,0.7338342666625977,0.10445902496576309
600,0.0,6.975156429689378e-05,1.214827571871524e-09,0.922635555267334,3.488792935968377e-05,0.7496695518493652,0.10214535146951675
650,0.0,5.376534682000056e-05,9.263839140238872e-10,0.9361128211021423,2.689193752303254e-05,0.7643057703971863,0.10031713545322418
700,0.0,4.238912515575066e-05,6.884737779877526e-10,0.9477097392082214,2.1201447452767752e-05,0.7778818607330322,0.09888231009244919
750,0.0,3.432800076552667e-05,5.108998779590479e-10,0.9575994610786438,1.7169109923997894e-05,0.7905169129371643,0.09777193516492844
800,0.0,2.859933374566026e-05,3.745499743690317e-10,0.9659519195556641,1.4303412172012031e-05,0.8023184537887573,0.09693314880132675
850,0.0,2.4474367819493636e-05,2.781325447731575e-10,0.9729427099227905,1.223996514454484e-05,0.8133867383003235,0.0963243618607521
900,0.0,2.1430392735055648e-05,2.0621965246547802e-10,0.9787458777427673,1.0717258192016743e-05,0.8238163590431213,0.09591174125671387
950,0.0,1.910614264488686e-05,1.5604750824849134e-10,0.9835311770439148,9.554632015351672e-06,0.8336946368217468,0.09566701948642731
1000,0.0,1.7261023458559066e-05,1.19512483243156e-10,0.987459123134613,8.631706805317663e-06,0.8431005477905273,0.09556606411933899
