epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.003117264248430729,0.14446541666984558,0.07278458774089813,0.00292920577339828,0.15333032608032227
100,0.002379121957346797,0.062442176043987274,0.0015902849845588207,0.0027153482660651207,0.028819486498832703
150,0.0030220153275877237,0.0074661592952907085,0.00018673094746191055,0.002091665519401431,0.006179063580930233
200,0.0035171976778656244,0.010883843526244164,0.00014342856593430042,0.0020701836328953505,0.00795347522944212
250,0.0031970965210348368,0.01493660919368267,0.0002277796738781035,0.002129207830876112,0.009325160644948483
300,0.0029595517553389072,0.005383403040468693,5.0975279009435326e-05,0.0021666681859642267,0.005128109827637672
350,0.0021324926055967808,0.009456324391067028,0.00012506451457738876,0.0022843678016215563,0.005987487733364105
400,0.0020579760894179344,0.01419785525649786,0.00024023649166338146,0.0023112287744879723,0.007913515903055668
450,0.00408956641331315,0.007294408045709133,8.239629823947325e-05,0.002128385240212083,0.00704509112983942
500,0.004140851087868214,0.0013193663908168674,1.976921885216143e-05,0.0020491366740316153,0.004681697115302086
550,0.0018907488556578755,0.005758190993219614,4.9843147280626e-05,0.00219256361015141,0.004204249009490013
600,0.0018513501854613423,0.0008599853608757257,2.1825397197972052e-05,0.0020339200273156166,0.002215401502326131
650,0.0032309498637914658,0.011378954164683819,0.00020173078519292176,0.0020407901611179113,0.007935750298202038
700,0.0029900840017944574,0.0018494667019695044,2.7174892238690518e-05,0.0020938231609761715,0.003747541457414627
750,0.0011401852825656533,0.0037576742470264435,5.1651128160301596e-05,0.002212383784353733,0.0026745684444904327
800,0.0023269187659025192,0.005573217757046223,8.625588088762015e-05,0.0020378530025482178,0.00461508147418499
850,0.002485905308276415,0.007441170513629913,6.197825132403523e-05,0.0020414255559444427,0.005472450517117977
900,0.0014558718539774418,0.0005347030237317085,1.8595463188830763e-05,0.002046062843874097,0.001688698772341013
950,0.0019535005558282137,0.00014084936992730945,7.17162765795365e-06,0.0020416639745235443,0.0020177599508315325
1000,0.0024092444218695164,0.0013494591694325209,1.1787484254455194e-05,0.002089618006721139,0.0029515614733099937
