epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total,nu_hat
50,0.0024478978011757135,0.0002067719615297392,0.011213203892111778,0.00025876794825308025,0.005996089894324541,0.1177879348397255,0.7668780088424683
100,0.0029693024698644876,0.00021772951004095376,0.004912481643259525,8.332178549608216e-05,0.0023950121831148863,0.053580522537231445,0.6516876816749573
150,0.0007941697840578854,0.00016265723388642073,0.004176640883088112,7.027840911177918e-05,0.0010139577789232135,0.04375133290886879,0.4653583765029907
200,0.00057800835929811,0.0004747467173729092,0.0014190231449902058,8.126298052957281e-05,0.0006464925827458501,0.017005110159516335,0.3792443871498108
250,0.0004528613353613764,0.00019940979836974293,0.0006941723986528814,5.213565600570291e-06,0.00035569455940276384,0.008044950664043427,0.2972542643547058
300,0.0005302247009240091,0.00042629524250514805,0.0005156074767000973,2.7787809813162312e-05,0.0003988140379078686,0.007243063300848007,0.24958235025405884
350,0.000577005441300571,0.00034575132303871214,0.0006107843364588916,1.0327195013815071e-05,0.0007413059356622398,0.007825374603271484,0.23310281336307526
400,0.0007766477065160871,0.00014729303075000644,0.0008991900831460953,1.0532072565183626e-06,0.0005628568469546735,0.010220959782600403,0.22606393694877625
450,0.00020908642909489572,0.00026860300567932427,0.00013727840268984437,1.1985041055595502e-05,0.00040385607280768454,0.002507530152797699,0.2252766191959381
500,0.00011302520579192787,8.444703416898847e-05,0.00032875282340683043,1.4266419384512119e-05,0.00027142150793224573,0.0037965585943311453,0.2357950210571289
550,0.0003929550002794713,0.00027154412236995995,0.0004612160555552691,3.835287770925788e-06,0.0003338116221129894,0.005858100485056639,0.24719108641147614
600,0.0002104696905007586,8.406041888520122e-05,0.0008983981679193676,1.396465358993737e-05,0.00041025178506970406,0.009586279280483723,0.26500216126441956
650,0.000200898022740148,9.435972606297582e-05,8.291800622828305e-05,2.483763864802313e-06,0.0001270385255338624,0.0013379949377849698,0.284501850605011
700,0.00018867435574065894,0.00010550415754551068,0.0004580591630656272,2.30367959375144e-06,9.13073745323345e-05,0.005108815152198076,0.301556795835495
750,0.00019485122174955904,7.726987678324804e-05,0.0005438085063360631,1.734677653075778e-06,0.0002726358943618834,0.005882092751562595,0.32235753536224365
800,0.00010145622945856303,8.785178943071514e-05,0.00030634476570412517,1.5607774912496097e-05,0.0002244019415229559,0.0035845371894538403,0.3358529806137085
850,0.00013098883209750056,6.491815292974934e-05,0.00011438167712185532,1.8894622826337582e-06,4.920247010886669e-05,0.0014884546399116516,0.3372163474559784
900,0.00020874851907137781,5.791272997157648e-05,0.00025740108685567975,3.669107627501944e-06,6.235154432943091e-05,0.002993188565596938,0.35145363211631775
950,0.0003167959221173078,8.461021207040176e-05,0.0005525673623196781,1.6845713162183529e-06,0.00015657937910873443,0.006113145966082811,0.3504791259765625
1000,0.00025212569744326174,0.00012934303958900273,0.00039220976759679615,2.7727949145628372e-06,0.0001803891354938969,0.0045899804681539536,0.34818509221076965
1050,0.000170853003510274,6.81248857290484e-05,9.946004138328135e-05,1.2787661489710445e-06,4.130108209210448e-05,0.0013826156500726938,0.3585939109325409
1100,0.00021704529353883117,0.00010333905083825812,0.0012570770923048258,5.916174359299475e-06,0.00012671058357227594,0.013156994245946407,0.3545638620853424
1150,0.00014768599066883326,4.1528237488819286e-05,0.00010304152237949893,6.21040726400679e-07,4.397158409119584e-05,0.0013088962296023965,0.36165639758110046
1200,0.00017897583893500268,4.148039806750603e-05,0.00010427532106405124,2.6514437649893807e-06,8.344205707544461e-05,0.0013726846082136035,0.36573517322540283
1250,0.0001023283984977752,3.1366333132609725e-05,0.0002869098971132189,1.168490712188941e-06,5.217230864218436e-05,0.0030772110912948847,0.3734297454357147
1300,0.00017094111535698175,7.226638990687206e-05,0.00046954344725236297,1.3195324299886124e-06,0.00013897006283514202,0.005096370354294777,0.36465272307395935
1350,0.00016207181033678353,5.340139614418149e-05,0.00021722738165408373,2.400277310243837e-07,0.00012172781134722754,0.0024969500955194235,0.3746970295906067
1400,0.00019448834063950926,0.00010895016748690978,8.897768566384912e-05,9.285357009503059e-06,5.94265729887411e-05,0.0015039693098515272,0.38352566957473755
1450,0.00024903094163164496,0.0001339082227787003,0.0004314362013246864,1.5616743667123956e-06,2.5894436475937255e-05,0.004980734549462795,0.3748859465122223
1500,0.0001724643661873415,7.698498666286469e-05,0.0003157607279717922,3.855638226468727e-07,9.200337080983445e-05,0.0035648823250085115,0.3773807883262634
1550,0.0001211881244671531,3.771070623770356e-05,9.700477676233277e-05,3.9794230133338715e-07,8.602150046499446e-05,0.0012083473848178983,0.3825778365135193
1600,0.00021327383001334965,3.7005756894359365e-05,0.00023879775835666806,5.853651146026095e-06,4.664640437113121e-05,0.0027708052657544613,0.38092878460884094
1650,0.0005138245760463178,2.5776485927053727e-05,0.0006618056795559824,6.997046853030042e-07,0.00048493704525753856,0.007216208148747683,0.3893641531467438
1700,0.0001506968546891585,4.937630001222715e-05,0.00015892538067419082,1.0984835171257146e-05,0.00011145867756567895,0.001997927902266383,0.38908305764198303
1750,0.000126890983665362,2.564495116530452e-05,0.00013706243771594018,2.6712659746408463e-06,2.552693331381306e-05,0.0016011629486456513,0.3923441171646118
1800,0.0002941510465461761,3.245352127123624e-05,0.00044241175055503845,5.202532065595733e-06,9.716646309243515e-05,0.004867654759436846,0.4008508622646332
1850,0.00018699000065680593,2.0821255020564422e-05,0.0001676387619227171,5.785786015621852e-06,2.227704862889368e-05,0.0019836993888020515,0.3976922035217285
1900,9.373148350277916e-05,1.9920118575100787e-05,3.951197140850127e-05,2.1245789127988246e-07,1.257057192560751e-05,0.0005507361493073404,0.4108652174472809
1950,0.00020552819478325546,2.444449819449801e-05,0.00036525141331367195,8.894468237485853e-07,0.00012449217319954187,0.003940270282328129,0.4074408710002899
