epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.4626847803592682,1.9116204977035522,0.006227198988199234,0.3396308720111847,0.5440729856491089
100,0.3890329599380493,1.7554501295089722,0.002774782245978713,0.2975269556045532,0.43433526158332825
150,0.25336092710494995,1.2191582918167114,0.00047045893734321,0.24072760343551636,0.2702571153640747
200,0.21585048735141754,0.7604956030845642,0.0005309314583428204,0.17636989057064056,0.22876475751399994
250,0.14114956557750702,0.47494062781333923,0.00010818675218615681,0.13017098605632782,0.14698083698749542
300,0.14312995970249176,0.3851504623889923,0.00010191596084041521,0.10183482617139816,0.14800062775611877
350,0.11660086363554001,0.4480898380279541,3.915122942999005e-05,0.08595241606235504,0.1214732751250267
400,0.08504921197891235,0.5361101031303406,0.0001535900664748624,0.07758139073848724,0.09194621443748474
450,0.10882559418678284,0.6071953773498535,0.00035169589682482183,0.07590770721435547,0.118414506316185
500,0.058040931820869446,0.5410126447677612,0.0005894597270525992,0.07172811031341553,0.06934565305709839
550,0.052024923264980316,0.57297283411026,0.0006522394833154976,0.073054738342762,0.0642770454287529
600,0.10704874247312546,0.5235747694969177,0.0006103678606450558,0.06840527802705765,0.11838816851377487
650,0.08205379545688629,0.4533391296863556,5.060799594502896e-06,0.065601646900177,0.08663778752088547
700,0.034199997782707214,0.443230539560318,0.0003323270648252219,0.06357326358556747,0.041955575346946716
750,0.07153431326150894,0.3977010250091553,1.1574556083360221e-05,0.06405080854892731,0.07562706619501114
800,0.04686901345849037,0.34579998254776,3.026693593710661e-05,0.06021314114332199,0.05062968283891678
850,0.03188951313495636,0.2915274500846863,1.0137101526197512e-05,0.05973348021507263,0.034906160086393356
900,0.06667957454919815,0.2814105451107025,0.0003776670782826841,0.05709884688258171,0.07327035069465637
950,0.022469228133559227,0.3279919922351837,7.3693354352144524e-06,0.05640803277492523,0.025822840631008148
1000,0.05474309250712395,0.2545161247253418,0.00025127455592155457,0.053528159856796265,0.059800997376441956
1050,0.06077759712934494,0.21698857843875885,4.1235278331441805e-05,0.05128521844744682,0.063359834253788
1100,0.08260061591863632,0.3001359701156616,2.915941695391666e-05,0.04778589680790901,0.08589357137680054
1150,0.06363804638385773,0.38254687190055847,8.087585592875257e-05,0.04475988447666168,0.06827227771282196
1200,0.05577343702316284,0.2913192808628082,0.000488765595946461,0.0437152124941349,0.06357428431510925
1250,0.04223038628697395,0.45782914757728577,4.909666586172534e-06,0.03857356309890747,0.04685777425765991
1300,0.031112881377339363,0.3715817332267761,7.742690286249854e-06,0.03685840219259262,0.03490612655878067
1350,0.032227978110313416,0.4524697959423065,0.0004464941448532045,0.03445412218570709,0.0412176176905632
1400,0.020206358283758163,0.4848587214946747,2.107178261212539e-06,0.03323657810688019,0.025076018646359444
1450,0.03668365627527237,0.3403838574886322,5.5690607041469775e-06,0.03293237462639809,0.04014318436384201
1500,0.03358399122953415,0.483039528131485,6.606447277590632e-05,0.02973209135234356,0.03907502815127373
1550,0.020764661952853203,0.5215724110603333,0.00011086321319453418,0.02945357747375965,0.027089018374681473
1600,0.017544632777571678,0.46437180042266846,7.442318019457161e-05,0.029125193133950233,0.02293258160352707
1650,0.039928629994392395,0.40188106894493103,5.157530176802538e-05,0.027088360860943794,0.04446319118142128
1700,0.023728953674435616,0.45944130420684814,0.0001303457684116438,0.026957806199789047,0.02962682396173477
