trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
0,complete,0.00551128014922142,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
1,complete,0.005126085598021746,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
2,complete,0.004973043687641621,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
3,complete,0.005484528373926878,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
4,complete,0.00530277332291007,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
9,complete,0.0049113440327346325,80,3,0.0017956984225677636,4.187594718900626,0.0004470608546778491,0.7377637070028384,4000,0.9742097839606857,0.9946749277591033
17,complete,0.00473514711484313,128,5,0.24379041467862048,1.7721366292267609,0.00038604561608774436,0.6240570120681564,3000,0.9898865827701877,0.9966452459767705
21,complete,0.004908865317702293,80,3,0.2444436163607056,1.8770647926514366,0.00039725719193542885,0.5247858998601431,3000,0.9670479744118404,0.9949712746423296
28,complete,0.004394948482513428,32,2,0.0010130366050826972,2.294785924883228,0.0009212874210814678,0.45850963443998666,3000,0.9642374229430161,0.9929933471247718
35,complete,0.00017231654783245176,64,4,0.011355141960961207,21.11649942398558,0.0014165657371442598,0.6259048595697807,1000,0.9797000990855278,0.9935436264001256
37,complete,3.860009019263089e-05,64,4,0.03258199398528746,19.31860668750447,0.0026427956257768443,0.5810321003090607,1000,0.965091721629647,0.9914282655830998
96,complete,7.713193190284073e-05,64,4,0.17201218906658575,1.8272666031476712,0.001872834923675845,0.3650057382668903,4000,0.9776528839112181,0.9925728329761166
113,complete,7.86935561336577e-05,48,5,0.7616841060394365,14.42529852704285,0.0017598483820654822,0.31505454127490595,1000,0.9177646365221518,0.9952895939196446
118,complete,6.453310925280675e-05,48,5,0.11947370836705705,1.5997159808283634,0.0012537558544595804,0.8289304476467272,1000,0.8787157722280796,0.9941718208567335
119,complete,0.0033960738219320774,48,5,0.11075398850466947,1.6113187439507115,0.0007817735882241175,0.8435477610994928,1000,0.8787132453430269,0.9936740092040572
120,complete,0.00014313058636616915,48,5,0.10107193315050256,1.1676099772485455,0.0013009420198245316,0.8560837472426572,1000,0.8883747676666235,0.9941012228210988
121,complete,0.002975685289129615,48,5,0.11306545087342247,1.1354786907190721,0.0008786859047066377,0.8182210728698451,1000,0.9252875173380274,0.9942852560032158
122,complete,0.002212479244917631,48,5,0.12258513980651899,1.2080936054818456,0.0009159410031894319,0.8353309077533544,1000,0.879294260930869,0.9942883045691395
123,complete,0.0023692043032497168,48,5,0.11236358806657876,1.1523438747561914,0.0009104790264242755,0.8391303375263005,1000,0.8812554682867744,0.9943146707197259
124,complete,0.002108079381287098,48,5,0.08150797295105054,1.1514425178337975,0.0009364146621834595,0.8229648776964978,1000,0.8799999952287483,0.9943197324420284
125,complete,0.00012446731852833182,48,5,0.07290362406818819,1.17646274934432,0.0012641624541462298,0.8207708243638064,1000,0.8783444331564436,0.9942706695240683
128,complete,0.0002021511463681236,48,5,0.08816547449088474,1.0954020411351035,0.0012445151498543128,0.8269000246257584,1000,0.888699286225475,0.9943315825035187
129,complete,0.00018282889504916966,48,5,0.04885291589623424,1.1569417834721234,0.0012541017713886655,0.8073003390905642,1000,0.888074164647604,0.9943205823952367
130,complete,0.00016283807053696364,48,5,0.05269492632615783,1.2267266160319392,0.0012718903840874551,0.7982821664289437,1000,0.8894454194273074,0.9942828822631996
131,complete,0.00017401644436176866,48,5,0.08774233828461594,1.185004398652545,0.0012605376456041695,0.8081855002132643,1000,0.8888603590775155,0.9943330188340055
133,complete,0.00029259949224069715,48,5,0.06387565970571146,1.362071800056982,0.001165183815507395,0.8552383180998131,1000,0.888007776877849,0.9939508209024288
134,complete,0.00020485318964347243,48,5,0.06372860755103256,1.3194062094582333,0.0011452949864492478,0.7866179419646913,1000,0.8875781966602043,0.9939047953259077
135,complete,0.0002370788570260629,48,5,0.06249439159169129,1.4040863599810791,0.0011776745762884409,0.784925758453739,1000,0.8871065326091528,0.9945484007054245
137,complete,0.0001320793089689687,48,5,0.06581690387086772,1.307440461636349,0.0012196934003740408,0.7835550933012938,1000,0.8940114097611443,0.9939393963634918
141,complete,0.00014657368592452258,48,5,0.06545999490004673,1.377429688621389,0.0012123239232248552,0.8569858058427181,1000,0.8974039604519004,0.9940205262312651
150,complete,0.00010985730477841571,48,5,0.04604042447138885,1.5686101475015644,0.001245171149320402,0.7511838567453369,1000,0.8906073072931661,0.994771303536386
156,complete,0.00012435422104317695,48,5,0.048489669088427174,1.2520492084561319,0.001247822180165079,0.7992636082371056,1000,0.8864431391730092,0.9941942722724433
159,complete,8.623300527688116e-05,48,5,0.04710242265178273,1.233496447492753,0.0012914094241009545,0.8289570365738269,1000,0.8902404560663066,0.9904899734853577
