run,nu_true,nu_pred,abs_error,rel_error_pct,best_val_loss,ic,nu_class
21,0.4745852094869524,0.07469680160284042,0.39988840788411195,84.26061324507121,0.002430138411000371,N_wave,high
22,0.14844817037333663,0.15003728866577148,0.0015891182924348546,1.0704869507238348,1.3160841263015755e-05,Gauss,high
23,0.1913704998411651,0.11236338317394257,0.07900711666722254,41.284898525528945,0.0007705931202508509,N_wave,high
24,0.04121585473274225,0.06738629192113876,0.02617043718839651,63.49604383578749,3.5082848626188934e-05,Step_up,low
25,0.05602104128808718,0.03752494975924492,0.01849609152884226,33.01632940688562,0.0034685716964304447,N_wave,high
26,0.34871306208102504,0.3163382112979889,0.032374850783036146,9.284094662193557,1.9381161109777167e-05,Gauss,high
27,0.029744478648501365,0.060041896998882294,0.03029741835038093,101.85896585518881,0.00016116736514959484,Gauss,low
28,0.046909989024343846,0.06523125618696213,0.018321267162618282,39.05621711638111,4.3297965021338314e-05,Gauss,low
29,0.48352036765829337,0.05180913582444191,0.43171123183385146,89.2850148018882,0.0017290794057771564,Step_up,high
30,0.4464304694891819,0.41976112127304077,0.026669348216141142,5.973908601412656,1.1179054126841947e-05,Gauss,high
31,0.3092873843123819,0.30790048837661743,0.001386895935764465,0.4484165879729814,1.8445952036927338e-06,Gauss,high
32,0.14897403426327094,0.16218449175357819,0.013210457490307248,8.867624184065104,1.0446227861393709e-05,Gauss,high
33,0.4442554589613026,0.3998001515865326,0.04445530737476999,10.006699181301974,1.5581024854327552e-05,Gauss,high
34,0.014789062216538359,0.006593680940568447,0.008195381275969912,55.415151792418285,0.009583062492311,N_wave,low
35,0.04624177734318308,0.07644069194793701,0.030198914604753935,65.306561165746,0.00010663091961760074,Gauss,low
36,0.011092310659168892,0.0271134190261364,0.016021108366967504,144.4343641216402,0.00015356273797806352,Gauss,low
37,0.04822491829111445,0.037790294736623764,0.010434623554490687,21.63741054261836,8.539917325833812e-05,Step_up,low
38,0.37004675540754617,0.33674585819244385,0.03330089721510232,8.999105309929503,1.2510927263065241e-05,Gauss,high
39,0.012565740304264201,0.040683891624212265,0.028118151319948062,223.76836254053515,0.0003152433200739324,Gauss,low
40,0.013713902953956202,0.03478506952524185,0.02107116657128565,153.6482111768701,0.0001770347444107756,Gauss,low
41,0.1966239828168857,0.08432915061712265,0.11229483219976305,57.11146249353636,0.0009429409401491284,N_wave,high
42,0.029874060454525786,0.05928673595190048,0.029412675497374696,98.45556663496276,0.0001454642479075119,Gauss,low
43,0.014797987292664877,0.038575079292058945,0.023777091999394068,160.67787820834246,0.00010971508163493127,Step_up,low
44,0.02497281241810312,0.052907828241586685,0.027935015823483567,111.86171327356429,0.00019761148723773658,Gauss,low
45,0.005124682486750013,0.015459245070815086,0.010334562584065073,201.6624953991848,0.0006003301241435111,Gauss,low
46,0.014982138823766315,0.03089490346610546,0.015912764642339147,106.2115685184853,0.00012871401850134134,Gauss,low
47,0.47600076678584147,0.3736650347709656,0.10233573201487589,21.499068731735463,6.348254100885242e-05,Gauss,high
48,0.027259894510573,0.03286774083971977,0.005607846329146772,20.57178294278328,1.666065691097174e-05,Step_up,low
49,0.3452976222322912,0.034566644579172134,0.3107309776531191,89.98931867653633,0.0007828791276551783,Step_up,high
50,0.41955777511255915,0.1728876680135727,0.24667010709898646,58.792881870157146,0.0008107218309305608,Step_up,high
51,0.34679273727899634,0.27707794308662415,0.0697147941923722,20.102726123784514,0.0001452648575650528,Gauss,high
52,0.03162732371622536,0.011307641863822937,0.020319681852402426,64.24723771988991,0.00011368908599251881,Step_up,low
53,0.0499690495052113,0.0487709604203701,0.001198089084841196,2.3976623464015394,0.00037723974674008787,N_wave,low
54,0.09505467730946311,0.1013164073228836,0.006261730013420494,6.587503309315965,1.7305779692833312e-05,Gauss,high
55,0.037976544152098626,0.030960911884903908,0.0070156322671947186,18.473593171344493,0.0011087253224104643,N_wave,low
56,0.24940744697973594,0.18947429955005646,0.05993314742967948,24.030215679385456,6.025385300745256e-05,Gauss,high
57,0.02867185127775366,0.05672786757349968,0.02805601629574602,97.85212689602132,0.0001436457532690838,Gauss,low
58,0.014737429931327699,0.03703407943248749,0.02229664950115979,151.29265825219144,3.546835432644002e-05,Step_up,low
59,0.27293503468787716,0.27620992064476013,0.003274885956882967,1.1998774582486482,3.7479112506844103e-06,Gauss,high
60,0.29937235570881177,0.29701006412506104,0.002362291583750731,0.7890814027092211,3.1615170428267447e-06,Gauss,high
61,0.04194640513064055,0.03004322573542595,0.011903179395214604,28.377114458658813,0.005848755594342947,N_wave,low
62,0.12668864845692082,0.0849190428853035,0.041769605571617324,32.97028272096584,0.0003462457680143416,N_wave,high
63,0.0069044501176036485,0.022142333909869194,0.015237883792265546,220.69655849080436,0.0003445957263465971,Gauss,low
64,0.0072577653119887,0.042823415249586105,0.03556564993759741,490.035822443149,0.003376586362719536,N_wave,low
65,0.03309493802275127,0.014190501533448696,0.018904436489302574,57.1218368087187,0.00014404940884560347,Step_up,low
66,0.048334889975003494,0.06677752733230591,0.018442637357302415,38.15595187418461,4.7729779907967895e-05,Gauss,low
67,0.08136893041077409,0.10405793786048889,0.022689007449714804,27.88411662187776,3.8562942791031674e-05,Gauss,high
68,0.12052738422099034,0.13645946979522705,0.015932085574236712,13.21864377727205,2.436499016766902e-05,Gauss,high
69,0.035674982423432415,0.05751055106520653,0.021835568641774113,61.20694996455512,8.101777348201722e-05,Gauss,low
70,0.006026270540389044,0.023140152916312218,0.017113882375923175,283.98795343194695,0.00023067292931955308,Step_up,low
71,0.49953390006781584,0.15078113973140717,0.3487527603364087,69.81563419200631,0.0004738895804621279,Step_up,high
72,0.2560395995516899,0.023803288117051125,0.2322363114346388,90.70327864958028,0.0005867731524631381,Step_up,high
73,0.4367012167255024,0.09945628046989441,0.337244936255608,77.2255545300187,0.00032013875897973776,Step_up,high
74,0.2202491087638716,0.08652878552675247,0.13372032323711913,60.71321876742769,0.0001766746718203649,Step_up,high
75,0.028195219649323765,0.05363006144762039,0.025434841798296626,90.20976645914037,0.0018025800818577409,N_wave,low
76,0.4531004786654065,0.33011963963508606,0.12298083903032042,27.142067779878914,0.0028602120000869036,N_wave,high
1,0.023956746188756782,0.04149957373738289,0.017542827548626107,73.22708772888026,7.141177047742531e-05,Gauss,low
2,0.37372866018566586,0.3212429881095886,0.05248567207607724,14.043791035454095,2.55183349509025e-05,Gauss,high
3,0.2794568245593933,0.2772124409675598,0.0022443835918334876,0.8031235577703654,2.6545662876742426e-06,Gauss,high
4,0.03952033119597499,0.06972464174032211,0.03020431054434712,76.42727080036042,0.00012916918785776943,Gauss,low
5,0.4204706848260481,0.3800463080406189,0.040424376785429206,9.614077329113462,1.9102160877082497e-05,Gauss,high
6,0.30555047780516625,0.2768658697605133,0.02868460804465295,9.387845913611576,3.64952975360211e-05,Gauss,high
7,0.010337376932697232,0.03237331286072731,0.022035935928030076,213.16757695397737,0.00027257067267782986,Gauss,low
8,0.04544952653664401,0.0649924948811531,0.019542968344509096,42.99927817455356,5.703693022951484e-05,Gauss,low
9,0.01981516447718086,0.043584272265434265,0.023769107788253405,119.9541281407273,0.0001545497216284275,Gauss,low
10,0.03548926545127156,0.059535395354032516,0.024046129902760956,67.7560653820165,9.353301720693707e-05,Gauss,low
11,0.3897163625783272,0.35805755853652954,0.03165880404179766,8.123550120489158,1.6201283870032057e-05,Gauss,high
12,0.03487799970031541,0.07573536038398743,0.04085736068367202,117.14364652426595,0.0002354992611799389,Gauss,low
13,0.20572151206153982,0.20368821918964386,0.002033292871895964,0.988371537580242,2.380742671448388e-06,Gauss,high
14,0.21949560649340477,0.18976448476314545,0.029731121730259324,13.54520129365444,3.5785189538728446e-05,Gauss,high
15,0.03411183828989261,0.05123090744018555,0.01711906915029294,50.18512636232022,5.2358464017743245e-05,Gauss,low
16,0.02662512252920312,0.055610060691833496,0.028984938162630376,108.86311652026745,0.00017154401575680822,Gauss,low
17,0.04572128885418402,0.06674406677484512,0.021022777920661102,45.98028281247211,4.869158146902919e-05,Gauss,low
18,0.012364411848676954,0.03436758369207382,0.022003171843396868,177.95566916311756,0.00021629073307849467,Gauss,low
19,0.012741868414473043,0.035751551389694214,0.02300968297522117,180.58327261553947,0.00022051265113987029,Gauss,low
20,0.11679885368250839,0.13766784965991974,0.020868995977411348,17.867466434335952,2.8663196644629352e-05,Gauss,high
21,0.36801795758915,0.2918734550476074,0.07614450254154259,20.69043126057159,6.291604950092733e-05,Gauss,high
22,0.4997239158624638,0.39854052662849426,0.10118338923396952,20.247858071659245,5.862562466063537e-05,Gauss,high
23,0.011776037196453055,0.03265969827771187,0.020883661081258813,177.34031179477742,0.0002290351112606004,Gauss,low
24,0.007323450037207151,0.0185238104313612,0.011200360394154047,152.93830554247057,0.00019820807210635394,Gauss,low
25,0.027717978850580444,0.05326642841100693,0.025548449560426484,92.1728445575009,0.0001168425806099549,Gauss,low
26,0.00619699045280388,0.01732499897480011,0.01112800852199623,179.5711742134647,0.00035135046346113086,Gauss,low
27,0.04949110465868814,0.07246626913547516,0.02297516447678702,46.42281604994189,6.949553062440827e-05,Gauss,low
28,0.0051162180697348555,0.01551778707653284,0.010401569006797985,203.30581818489688,0.0005651562241837382,Gauss,low
