epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total
50,0.0004824797797482461,0.0005890490137971938,0.0018214208539575338,0.00015802771667949855,0.0002771807194221765,0.020866015926003456
100,0.0006687750574201345,0.0019511102000251412,0.000871254364028573,9.822913125390187e-05,0.0006277380743995309,0.012314719147980213
150,0.0005967165343463421,0.0017398871714249253,0.0006840549758635461,4.631216506822966e-05,0.0003578852047212422,0.009640275500714779
200,0.00022848772641737014,0.0025916232261806726,0.000647048291284591,2.2853451810078695e-05,0.00021670169371645898,0.009519128128886223
250,0.00028544088127091527,0.0016160478116944432,0.0005647979560308158,2.363804742344655e-05,0.0002606455236673355,0.007785848807543516
300,0.00018113448459189385,0.0011188825592398643,0.000545669230632484,4.6814722736598924e-05,0.00024406194279436022,0.007224856875836849
350,0.0002967003674712032,0.0011698296293616295,0.0005311851855367422,9.870367648545653e-05,0.00023628560302313417,0.007765418384224176
400,0.00033874655491672456,0.002097728196531534,0.0003907956706825644,1.592157786944881e-05,0.0001772495888872072,0.006503646727651358
450,0.0002860021486412734,0.0011701739858835936,0.0003988113021478057,3.1957035389496014e-05,0.00011391331645427272,0.005763859488070011
500,0.00039191977703012526,0.00023385140229947865,0.0004182226548437029,5.2493949624476954e-05,0.0005480285617522895,0.0053329369984567165
550,0.00018823488790076226,0.0006088445661589503,0.00025885854847729206,8.72004784469027e-06,0.00015910077490843832,0.0034728653263300657
600,0.00015463550516869873,0.00025364747853018343,0.000505613221321255,0.00014379556523635983,3.788305912166834e-05,0.006902370601892471
650,0.000790643971413374,0.0004280779103282839,0.0004943828680552542,0.0006244498072192073,0.000370572175597772,0.012407048605382442
700,0.0002623818872962147,0.0006741888937540352,0.00020363811927381903,2.2320053176372312e-05,0.0002463236160110682,0.003196152625605464
750,0.0003512661496642977,0.002801933092996478,0.00017609831411391497,5.5782453273423016e-05,6.635332101723179e-05,0.005472006741911173
800,0.0002011087053688243,0.000337324250722304,0.00012620713096112013,8.45039903651923e-06,8.142073056660593e-05,0.0018850082997232676
850,0.0001516209013061598,0.0003439063730183989,0.00011831941083073616,1.371483722323319e-05,4.315204932936467e-05,0.0018158697057515383
900,0.0001309250365011394,0.00019517434702720493,0.0001087548807845451,5.471513759403024e-06,0.0001260315184481442,0.0014683633344247937
950,0.0001328938378719613,0.00015368926688097417,7.249952614074573e-05,3.515671778586693e-05,2.7335760023561306e-05,0.0013631455367431045
1000,0.00018468561756890267,0.00016532976587768644,6.350034527713433e-05,7.435688075929647e-06,7.077553891576827e-05,0.0010593757033348083
1050,8.462284313281998e-05,0.0004704152815975249,5.996718755341135e-05,4.493180767894955e-06,2.8589518478838727e-05,0.0011996417306363583
1100,0.00016372428217437118,0.00012505156337283552,7.510853902203962e-05,4.450546384759946e-06,1.4282458323577885e-05,0.0010843666968867183
1150,7.780775922583416e-05,0.00010615307110128924,0.00010176844079978764,1.954583240149077e-05,9.927404789777938e-06,0.0013971035368740559
1200,0.00010366797505412251,6.259580550249666e-05,7.772172102704644e-05,3.463794564595446e-05,3.3600430469959974e-05,0.0012898604618385434
1250,0.00014365029346663505,6.868473428767174e-05,6.256519554881379e-05,1.1098937648057472e-05,1.8376504158368334e-05,0.000948976376093924
1300,0.00014387589180842042,0.00010041934729088098,6.466543709393591e-05,9.456092811888084e-06,2.134990609192755e-05,0.0009855105308815837
1350,0.00012048911594320089,0.00013190059689804912,5.744012742070481e-05,1.067682296707062e-05,3.305533391539939e-05,0.0009335592039860785
1400,0.00016823280020616949,9.996550943469629e-05,5.7038585509872064e-05,3.820594429271296e-06,3.5790257243206725e-05,0.0008767900872044265
