trial,state,value,hidden,n_layers,dropout_rate,lr,scheduler_gamma,scheduler_step,lambda_phys,lambda_ic,final_loss_data,final_loss_phys,final_loss_ic,final_loss_val,final_loss_total
0,complete,0.08860582113265991,48,6,0.146398788362281,0.0015751320499779737,0.39361118426546193,1000,0.0017073967431528124,53.99484409787433,0.06270746886730194,3.914637327194214,0.0010814392007887363,0.08870033174753189,0.12778344750404358
1,complete,0.002543967217206955,80,5,0.004116898859160489,0.008706020878304856,0.7994655844802532,1500,0.005337032762603957,2.32706770838378,0.004474028013646603,0.1066681444644928,0.0009119201567955315,0.003994744271039963,0.007165419403463602
2,complete,0.08017083257436752,48,4,0.08638900372842316,0.0003823475224675188,0.6671117368334277,1000,0.01474275315991467,5.404103854647328,0.08936069905757904,0.7906927466392517,0.0014643307076767087,0.08065479248762131,0.10893107950687408
3,complete,0.01684301160275936,64,5,0.03993475643167195,0.0010677482709481358,0.6554487413172255,500,0.26926469100861794,2.1930485556643684,0.03191198781132698,0.11073549091815948,0.008198252879083157,0.01684301160275936,0.07970831543207169
4,complete,0.11784589290618896,16,6,0.19312640661491187,0.004138040112561018,0.4827682615040224,500,0.5456725485601477,7.591104805282694,0.25133824348449707,0.5707957148551941,0.003209534101188183,0.12263009697198868,0.5871697068214417
8,complete,0.0025613929610699415,48,4,0.02818484499495253,0.0040215545266902904,0.3447303862078625,5000,1.2273800987852967,2.4970737145052717,0.006009949371218681,0.022423284128308296,0.0015828624600544572,0.0029542907141149044,0.03748437017202377
11,complete,0.003179773921146989,96,4,0.04513514235331549,0.007791470666172783,0.34304891675229365,2500,6.278871663391087,3.0208778601692803,0.011824735440313816,0.015556192956864834,0.008299462497234344,0.0034537732135504484,0.13457173109054565
12,complete,0.008821590803563595,96,5,0.0423584446993113,0.008731481958021156,0.7748815993499715,5000,1.2990132253334292,20.20051308295781,0.535175621509552,5.5188703536987305,0.40348029136657715,0.5067612528800964,15.85477066040039
13,complete,0.0022370924707502127,48,5,0.0012199113928081928,0.0020223648114944875,0.6085337539039134,3500,0.056561467651267544,1.0243918246367023,0.0031971230637282133,0.024504991248250008,8.707208326086402e-05,0.002342749619856477,0.0046723573468625546
19,complete,0.0032188883051276207,112,6,0.06080706717698318,0.006387255624731285,0.7177618458882215,3000,0.15206341703041568,1.5147749198726173,0.1845608800649643,1.2978413105010986,0.2797771394252777,0.23890450596809387,0.80571448802948
32,complete,0.0026898044161498547,112,4,0.03444525222630106,0.009949436743809513,0.42960962196688374,3000,4.119698787438647,4.083011637089592,0.005966904107481241,0.014031038619577885,0.004792029038071632,0.0028726428281515837,0.0833364725112915
36,complete,0.002365229418501258,64,4,0.015581599159762649,0.0067953437161007045,0.36254147242667906,4000,0.5938131829412322,2.4995576833490367,0.0064421528950333595,0.02193693071603775,0.0002277780295116827,0.0029052263125777245,0.020037934184074402
39,complete,0.0021790452301502228,80,4,0.001147916468724372,0.005857131061110801,0.372565790028775,4500,0.7459203295160153,1.3014938106053302,0.004363113548606634,0.004780253861099482,0.0035564920399338007,0.0032488065771758556,0.012557554058730602
40,complete,0.002188396640121937,80,3,0.0007635777943726589,0.006990117399255659,0.5129494714919167,4500,0.6842918626953054,1.2363647937796463,0.0024302820675075054,0.003926240839064121,7.358976290561259e-05,0.002209392376244068,0.005207960493862629
42,complete,0.0022767819464206696,80,3,0.00557806092228994,0.0067950238068245124,0.5292079517594794,4000,0.7229835234036595,1.6790692474672815,0.003541672835126519,0.012096894904971123,0.00022060271294321865,0.0024398777168244123,0.012657935731112957
43,complete,0.0021949945949018,80,3,0.011209660995336693,0.005159063963046226,0.5504222268484195,4000,0.7386903413649231,1.6035694510932348,0.005094960797578096,0.013470197096467018,0.0011490525212138891,0.002776841167360544,0.016887851059436798
51,complete,0.0023594871163368225,64,3,0.01856507195243274,0.006149949985555842,0.5409614250804621,4000,0.6018271189588477,1.0735618162141982,0.004943975247442722,0.016983654350042343,0.0016392878023907542,0.0023594871163368225,0.01692507602274418
52,complete,0.0025772307999432087,64,3,0.020658487043737177,0.005917588064262779,0.6094653364516905,4000,0.3420227829012247,1.1254659653309425,0.0035828195977956057,0.02963632345199585,0.0005723960930481553,0.0029581724666059017,0.014363329857587814
60,complete,0.002412124304100871,80,3,0.009045871729393574,0.008876640803317903,0.6849063414811106,4500,0.9885246716424039,2.016820251129787,0.002467012731358409,0.011745086871087551,0.00016386616334784776,0.0031818156130611897,0.014407808892428875
61,complete,0.0021804869174957275,64,4,0.015195796764424247,0.006916770924584696,0.3628136435884525,4000,0.5033588851773279,1.4585894362505958,0.007515436038374901,0.014213085174560547,0.0025928174145519733,0.0027588801458477974,0.018451575189828873
62,complete,0.002199425594881177,64,4,0.022688878483624282,0.006911118249410032,0.4023027007317813,4000,0.45348842196903544,1.458387901269099,0.005063583608716726,0.021533872932195663,0.0025126344989985228,0.0029080407693982124,0.01849333941936493
63,complete,0.00220520724542439,64,4,0.006732571648338522,0.006983258942144892,0.3982952428393298,4500,0.48135447864389164,1.4464387235042153,0.005195568781346083,0.009029346518218517,7.854444265831262e-05,0.0026001976802945137,0.009655495174229145
68,complete,0.0022266923915594816,64,4,0.022967770653283526,0.00545246008716353,0.43931997707373127,5000,0.021619677076707568,1.1603073378204778,0.009258916601538658,0.07731429487466812,0.0034266244620084763,0.002375555457547307,0.014906363561749458
76,complete,0.002287383424118161,80,4,3.8190988075026975e-05,0.008876901436169407,0.35147276312516834,3500,0.051289621050876,2.0880851909003013,0.004258012864738703,0.020407678559422493,0.00017559895059093833,0.002402030862867832,0.005671380553394556
81,complete,0.0022085963282734156,80,4,0.005069958300439015,0.007121610307599878,0.5058267831776556,4000,0.35994691727814426,1.6510082163238846,0.005282398778945208,0.012943778187036514,0.005248059052973986,0.0024586007930338383,0.01860605925321579
82,complete,0.0021949762012809515,80,4,0.00454659590713789,0.007645243653264144,0.5152458280193315,4000,0.38019929015383946,1.5003370475324032,0.005734872072935104,0.011264736764132977,0.00022409942175727338,0.0027253334410488605,0.010353941470384598
83,complete,0.002162927994504571,80,4,0.006042132926378006,0.00738473519695991,0.5073365265532214,4000,0.34165397247415286,1.809567945969536,0.00435174023732543,0.018447577953338623,0.0001320531009696424,0.002479947404935956,0.010893387719988823
84,complete,0.002229600679129362,80,4,0.005351334247130307,0.00796765242460635,0.5164444474987407,4000,0.3302884335757707,1.8349117770022076,0.004522560629993677,0.01902618072926998,0.00016651919577270746,0.0026784618385136127,0.01111223641782999
85,complete,0.002266754861921072,80,4,0.012399482292210953,0.009980419859601719,0.49042177573054563,4000,0.5096586376972654,1.5500426023778864,0.0035785252694040537,0.018115339800715446,0.00032222343725152314,0.002467928221449256,0.013310624286532402
101,complete,0.0022097090259194374,80,4,0.004003154283050707,0.00821969682985758,0.515648379072076,4000,0.3194120850559859,1.8233462096750668,0.003864145837724209,0.01098572462797165,0.00010791581007651985,0.00297153415158391,0.007569886744022369
111,complete,0.002147157210856676,80,4,0.0064911377923804504,0.007897486465044498,0.51949644281213,4000,0.36231412739965607,1.8051453434663582,0.003950027748942375,0.012760029174387455,0.0003004326135851443,0.0024005379527807236,0.0091154919937253
112,complete,0.0022792965173721313,80,4,0.008059172264309798,0.007961719136648055,0.5265333149777773,4000,0.47837090205593386,1.6277658466386233,0.004624881781637669,0.01291087456047535,0.000594118086155504,0.002571430057287216,0.011768153868615627
121,complete,0.002184821292757988,80,4,0.005723382542944461,0.007608238238270457,0.5100835435833562,4000,0.34232934794536507,1.8272037312453413,0.004362747073173523,0.015005841851234436,0.0017577044200152159,0.00319566298276186,0.01271137222647667
126,complete,0.0023248340003192425,64,4,0.006002846088465361,0.009777820461226525,0.5068812151815507,4000,0.5442567944859935,1.213601858468838,0.0022687034215778112,0.008447115309536457,0.0007841763435862958,0.0023850146681070328,0.00781778059899807
127,complete,0.0022674882784485817,80,4,0.003707690658867374,0.007700965068659515,0.5693961503315123,5000,0.38772142629567413,2.256712105186098,0.0038991612382233143,0.012659463100135326,0.000622484483756125,0.002353999298065901,0.010212274268269539
138,complete,0.002194737084209919,64,4,0.010318162510338336,0.009250734155031875,0.31812508561780806,4000,0.4333968034357917,1.1379049596944344,0.0032035368494689465,0.01254431251436472,0.0004947571433149278,0.0029881771188229322,0.009203188121318817
141,complete,0.0021712114103138447,64,4,0.00803376630562626,0.008044359946586303,0.35926293379478547,4000,0.2407847267256144,1.0973711752045312,0.005490090698003769,0.024874845519661903,0.00024014193331822753,0.0031231252942234278,0.011743098497390747
146,complete,0.002218938898295164,64,4,0.008380912520724123,0.009071899594270485,0.361711824523085,5000,0.2753967270299001,1.3505236838760548,0.005410967394709587,0.022873280569911003,0.00167431915178895,0.004257528576999903,0.013971401378512383
148,complete,0.0024703661911189556,64,4,0.0022134895679368173,0.00855712318063454,0.3617171262610278,4500,0.40440722740001817,1.3859142273457488,0.0030467582400888205,0.015381082892417908,0.0004822556802537292,0.0034410988446325064,0.009935343638062477
151,complete,0.002147846855223179,64,4,6.511099203374785e-05,0.007365399056488505,0.4006576355715068,5000,0.2632342690014941,1.053011912391887,0.0028440868481993675,0.002788031240925193,4.33310451626312e-05,0.0025013620033860207,0.0036236203741282225
