number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
11,0.003179773921146989,2026-05-15 12:50:08.542847,2026-05-15 12:50:48.191971,0 days 00:00:39.649124,0.04513514235331549,96,3.0208778601692803,6.278871663391087,0.007791470666172783,4,0.34304891675229365,2500,COMPLETE
12,0.008821590803563595,2026-05-15 12:50:48.201985,2026-05-15 12:51:14.845694,0 days 00:00:26.643709,0.0423584446993113,96,20.20051308295781,1.2990132253334292,0.008731481958021156,5,0.7748815993499715,5000,COMPLETE
13,0.0022370924707502127,2026-05-15 12:51:14.857359,2026-05-15 12:51:38.994975,0 days 00:00:24.137616,0.0012199113928081928,48,1.0243918246367023,0.056561467651267544,0.0020223648114944875,5,0.6085337539039134,3500,COMPLETE
14,0.08349086344242096,2026-05-15 12:51:39.010300,2026-05-15 12:51:40.032648,0 days 00:00:01.022348,0.06549563819737138,80,1.0077021831726773,0.005508571077477059,0.0016755693348856548,5,0.5867104829366274,3000,PRUNED
15,0.13828937709331512,2026-05-15 12:51:40.039731,2026-05-15 12:51:40.338577,0 days 00:00:00.298846,0.11839114126534654,128,1.5118886793651602,0.06957771473202023,0.0005617808565792004,5,0.753853691325427,4000,PRUNED
16,0.1748894900083542,2026-05-15 12:51:40.344781,2026-05-15 12:51:40.554563,0 days 00:00:00.209782,0.00743517445329157,64,3.5487979502479883,0.055196667219298785,0.0021467908966185554,3,0.6655559737263075,2000,PRUNED
17,0.36635828018188477,2026-05-15 12:51:40.561709,2026-05-15 12:51:40.847007,0 days 00:00:00.285298,0.0005774906735975375,96,15.822739892352544,0.004118464327425741,0.00018349999083829086,5,0.8312696718297345,3500,PRUNED
18,0.4629380404949188,2026-05-15 12:51:40.854651,2026-05-15 12:51:41.078171,0 days 00:00:00.223520,0.10536509745625804,32,39.17034330357436,0.0048726536372756205,0.000943988713905609,3,0.5983777053004371,2000,PRUNED
19,0.0032188883051276207,2026-05-15 12:51:41.084614,2026-05-15 12:52:11.338469,0 days 00:00:30.253855,0.06080706717698318,112,1.5147749198726173,0.15206341703041568,0.006387255624731285,6,0.7177618458882215,3000,COMPLETE
20,0.2356286495923996,2026-05-15 12:52:11.353056,2026-05-15 12:52:11.600727,0 days 00:00:00.247671,0.026989485964110455,64,4.377909918285812,0.03315170987793583,0.0008284554095422222,5,0.8150479274466733,2000,PRUNED
21,0.13763976097106934,2026-05-15 12:52:11.607259,2026-05-15 12:52:11.834558,0 days 00:00:00.227299,0.02627869330225126,48,2.4064231730927483,8.40775592844868,0.00440783929441981,4,0.41992688044612775,5000,PRUNED
22,0.15029995143413544,2026-05-15 12:52:11.840931,2026-05-15 12:52:12.074285,0 days 00:00:00.233354,0.02542876840177448,32,2.194660820738537,0.8813985910837595,0.0025605032313631743,4,0.32571119234627743,4000,PRUNED
23,0.1293007731437683,2026-05-15 12:52:12.080408,2026-05-15 12:52:12.306110,0 days 00:00:00.225702,0.021134208211948086,32,1.3109242906847547,2.751491510053253,0.009801722438995209,4,0.526740156956822,4500,PRUNED
24,0.07845859229564667,2026-05-15 12:52:12.312950,2026-05-15 12:52:13.201849,0 days 00:00:00.888899,0.052858536003744336,48,2.8561345988286804,0.007932630287891663,0.004398353687537497,5,0.5542288610460648,4000,PRUNED
25,0.116996631026268,2026-05-15 12:52:13.208101,2026-05-15 12:52:13.426692,0 days 00:00:00.218591,0.019863669229321836,64,6.729339151089929,0.4241689190629601,0.005373068697328545,3,0.6382165966372345,3500,PRUNED
26,0.12008586525917053,2026-05-15 12:52:13.433714,2026-05-15 12:52:13.693712,0 days 00:00:00.259998,0.03703556025520456,80,1.9008431411207363,0.12829176679078838,0.001622433203696774,5,0.7110140797133955,4500,PRUNED
27,0.2631300687789917,2026-05-15 12:52:13.701158,2026-05-15 12:52:13.915864,0 days 00:00:00.214706,0.013070568756550943,32,3.500913287595699,0.0021454709998875976,0.003109309913027891,4,0.3005147598309268,1500,PRUNED
28,0.11971580237150192,2026-05-15 12:52:13.923023,2026-05-15 12:52:14.207960,0 days 00:00:00.284937,0.07974065440590347,48,1.2678161115668614,0.009644957300469933,0.002253791638238957,6,0.37993692893740527,5000,PRUNED
29,0.4166297912597656,2026-05-15 12:52:14.215496,2026-05-15 12:52:14.483769,0 days 00:00:00.268273,0.136693601389005,48,21.213646569067123,0.057802398775783886,0.001316911656555445,6,0.4806367837584611,1500,PRUNED
30,0.13263580203056335,2026-05-15 12:52:14.490806,2026-05-15 12:52:14.729468,0 days 00:00:00.238662,0.09286670933299376,80,10.446356731526294,0.002904786421783053,0.005054338741109781,5,0.37882783646402013,1000,PRUNED
31,0.14071428775787354,2026-05-15 12:52:14.736759,2026-05-15 12:52:14.955932,0 days 00:00:00.219173,0.05342773535131338,96,3.1301392058163224,8.444426365891013,0.007752475977328219,4,0.34457490738718893,2500,PRUNED
32,0.0026898044161498547,2026-05-15 12:52:14.963596,2026-05-15 12:52:56.231027,0 days 00:00:41.267431,0.03444525222630106,112,4.083011637089592,4.119698787438647,0.009949436743809513,4,0.42960962196688374,3000,COMPLETE
33,0.10947977006435394,2026-05-15 12:52:56.239810,2026-05-15 12:52:56.490484,0 days 00:00:00.250674,0.0002460533821064632,112,4.365587249496697,3.7227811654174743,0.006130702268202698,4,0.44174114289008104,3000,PRUNED
34,0.10730700939893723,2026-05-15 12:52:56.497671,2026-05-15 12:52:56.715600,0 days 00:00:00.217929,0.16978673854293286,112,7.150692938955941,1.4521803399744397,0.009931008991483732,3,0.40936417555309335,3500,PRUNED
35,0.10898227244615555,2026-05-15 12:52:56.723314,2026-05-15 12:52:56.965469,0 days 00:00:00.242155,0.03450084357547187,64,2.12839219751569,5.053133899950163,0.003566867263481904,5,0.4900537451586229,3000,PRUNED
