epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total
50,0.028599051758646965,0.00024401403788942844,0.029891034588217735,0.0026356398593634367,0.028581148013472557,0.37826719880104065
100,0.012726623564958572,0.00010706207831390202,0.0230462197214365,0.0013062262441962957,0.019562851637601852,0.26695728302001953
150,0.017940137535333633,0.0003800606355071068,0.012302341870963573,0.00030995256383903325,0.012139893136918545,0.18206915259361267
200,0.0063987672328948975,0.00032737082801759243,0.006397681310772896,2.5110597562161274e-05,0.00743881706148386,0.1033637672662735
250,0.009412495419383049,0.0001639922702452168,0.007534698583185673,0.00019242128473706543,0.0060188667848706245,0.10308291763067245
300,0.008772749453783035,0.0002672214759513736,0.01118525117635727,1.6453395801363513e-05,0.006720517296344042,0.14751194417476654
350,0.008452444337308407,8.318766776937991e-05,0.010115254670381546,8.81889063748531e-05,0.009776568971574306,0.1188056468963623
400,0.005517464131116867,8.32231598906219e-05,0.007986754179000854,5.040763790020719e-05,0.008544594049453735,0.0942113995552063
450,0.004373276140540838,0.00018552302208263427,0.0032272771932184696,1.3056079524176312e-06,0.0029807989485561848,0.05521140620112419
500,0.0043326206505298615,0.0002922131970990449,0.001332161482423544,1.7396483826814801e-06,0.0024969058576971292,0.046892955899238586
550,0.01129608042538166,8.182383317034692e-05,0.012011331506073475,1.38619680001284e-05,0.002953081391751766,0.13973040878772736
600,0.002282533561810851,0.00024083146126940846,0.0028967373073101044,1.1038770935556386e-05,0.0032545197755098343,0.05544344335794449
650,0.0063468459993600845,6.53739261906594e-05,0.005093012470752001,2.8361017029965296e-05,0.003495643148198724,0.06409797817468643
700,0.004472051747143269,0.0001228717010235414,0.0035464430693536997,0.0023088466841727495,0.0030173331033438444,0.07531212270259857
750,0.001982824644073844,0.00013753228995483369,0.001170487841591239,2.128095502484939e-06,0.0011333817383274436,0.02746221236884594
800,0.0068316832184791565,6.13042720942758e-05,0.003785755718126893,1.0265608580084518e-05,0.001173117896541953,0.05092232674360275
850,0.0015620054909959435,8.657566650072113e-05,0.0030101954471319914,5.606693230220117e-05,0.0010359485168009996,0.04088220000267029
900,0.000203038114705123,2.2752463337383233e-05,0.0003434223763179034,1.7942122099157132e-07,0.00039073635707609355,0.005914302542805672
950,0.0001623702992219478,1.772096220520325e-05,0.00012492937094066292,5.704920113203116e-06,0.00014384718087967485,0.0032408093102276325
1000,0.0001766166096786037,1.2868488738604356e-05,0.00024644596851430833,3.22610776493093e-06,3.954585554311052e-05,0.0039601861499249935
1050,0.0010989841539412737,6.282305548666045e-05,0.0018282004166394472,3.452319651842117e-05,0.0010462680365890265,0.026008525863289833
