epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total
50,0.03749384358525276,0.05707674100995064,0.08790647983551025,0.012238890863955021,0.019638467580080032,1.0960242748260498
100,0.0049827019684016705,0.027786197140812874,0.05939435213804245,0.006132482551038265,0.01064026728272438,0.6880372762680054
150,0.0009823369327932596,0.010125783272087574,0.04403753578662872,0.002311855787411332,0.003389962948858738,0.4746020436286926
200,0.0009111128165386617,0.01288569811731577,0.03210534155368805,0.0009347129962407053,0.0012223426019772887,0.3441973626613617
250,0.007311026565730572,0.04002184048295021,0.02648439072072506,0.0023025632835924625,0.002145200502127409,0.3352023959159851
300,0.004087044391781092,0.08342821151018143,0.018867818638682365,0.001773526892066002,0.0019935709424316883,0.29392871260643005
350,0.0029546499717980623,0.01549353078007698,0.019566647708415985,0.0002708585816435516,0.0032350607216358185,0.2168232500553131
400,0.003300698474049568,0.008057943545281887,0.025415951386094093,0.0011267338413745165,0.0044169919565320015,0.2767854928970337
450,0.0012220966164022684,0.008690806105732918,0.029205724596977234,0.0013933528680354357,0.0024054793175309896,0.3159036934375763
500,0.005603595171123743,0.014926801435649395,0.07503410428762436,0.04585239291191101,0.017323516309261322,1.2293953895568848
550,0.0032417092006653547,0.04569091647863388,0.019670821726322174,0.0019721989519894123,0.0015465179458260536,0.26536282896995544
600,0.005052980035543442,0.01587779074907303,0.02375948056578636,0.0036889752373099327,0.0015935901319608092,0.29541534185409546
650,0.002646790584549308,0.04084122180938721,0.028168927878141403,0.0008881126414053142,0.003372363280504942,0.3340584337711334
700,0.0042494721710681915,0.05580586940050125,0.01115400344133377,0.0005499340477399528,0.004174618516117334,0.1770947277545929
750,0.00464391615241766,0.015044091269373894,0.008389209397137165,0.0001489881396992132,0.003043604316189885,0.10506998002529144
800,0.00452560605481267,0.011598397046327591,0.010458280332386494,0.0007965691038407385,0.004284695256501436,0.1286724954843521
850,0.00825737975537777,0.0020396672189235687,0.004775593988597393,3.5425007808953524e-05,0.004550744313746691,0.05840723589062691
900,0.00494358129799366,0.0074707637540996075,0.0037976570893079042,2.453104025335051e-05,0.004967658780515194,0.05063622444868088
950,0.005195200443267822,0.004374973941594362,0.0030265026725828648,3.898167415172793e-05,0.0053423065692186356,0.04022501781582832
1000,0.0015630689449608326,0.0020880589727312326,0.00412040576338768,0.0001136281862272881,0.00529469782486558,0.04599146544933319
1050,0.002727071288973093,0.0014319594483822584,0.0026928388979285955,0.0005154376267455518,0.005040567833930254,0.0362417958676815
1100,0.00732522364705801,0.0006008711061440408,0.002468522172421217,4.285157410777174e-05,0.005110907834023237,0.03303983435034752
1150,0.001362708630040288,0.0008147075423039496,0.0025765851605683565,2.017060251091607e-05,0.005163141526281834,0.028144972398877144
1200,0.006993965711444616,0.0008247758378274739,0.0028316134121268988,5.1617793360492215e-05,0.005047788843512535,0.03665105253458023
1250,0.004046425223350525,0.0011088588507845998,0.0021292688325047493,1.7229816876351833e-05,0.005066151265054941,0.026620270684361458
1300,0.0051401956006884575,0.0004522551316767931,0.0022718245163559914,2.33063219639007e-05,0.005067456513643265,0.028543759137392044
1350,0.004946530796587467,0.004683509469032288,0.002787657082080841,0.00016295573732350022,0.005050566978752613,0.039136167615652084
1400,0.002562259789556265,0.00046268367441371083,0.0030112755484879017,9.301862155552953e-05,0.005162882152944803,0.03406788408756256
1450,0.0004830752732232213,0.0005525660235434771,0.002076445147395134,3.0225504815462045e-05,0.004858644679188728,0.022102348506450653
1500,0.003612138796597719,0.00031152262818068266,0.0021432465873658657,1.1782487490563653e-05,0.0048240483738482,0.025473954156041145
1550,0.000607302354183048,0.0004127076535951346,0.0021588618401437998,2.0040948584210128e-05,0.004745952319353819,0.022809037938714027
1600,0.002960999496281147,0.0003482193569652736,0.00198803236708045,4.2409774323459715e-05,0.004679601639509201,0.023613641038537025
1650,0.016773737967014313,0.0005350924329832196,0.00207520998083055,2.285773189214524e-05,0.0046324338763952255,0.03828950971364975
1700,0.0017779304180294275,0.0005423427210189402,0.00199423311278224,3.03261294902768e-05,0.004723735619336367,0.022565865889191628
1750,0.007578028831630945,0.00048056963714770973,0.001740670413710177,1.4330173144116998e-05,0.004271630197763443,0.02560860477387905
1800,0.004669587127864361,0.00044018428889103234,0.0019686853047460318,3.6495162930805236e-05,0.00448480574414134,0.02516157738864422
1850,0.0011224402114748955,0.0004926268593408167,0.0017027053982019424,1.481928484281525e-05,0.0042719910852611065,0.018790312111377716
1900,0.004157504066824913,0.00038307643262669444,0.001795575488358736,3.244910476496443e-05,0.004476455971598625,0.02282082661986351
1950,0.005580476019531488,0.0005818624631501734,0.0014837755588814616,7.1122217377705965e-06,0.004206350073218346,0.021071216091513634
2000,0.0015186563832685351,0.0003183497174177319,0.0016880100592970848,6.447678606491536e-05,0.0041666156612336636,0.01936187408864498
2050,0.003162296488881111,0.000232909427722916,0.002146960236132145,1.386670282954583e-05,0.003985048737376928,0.025003474205732346
2100,0.004974994342774153,0.00037892727414146066,0.0018265779362991452,8.505267760483548e-05,0.003785090520977974,0.02447022870182991
2150,0.0012929892400279641,0.005990214645862579,0.0021933570969849825,4.63042852061335e-05,0.0035834643058478832,0.029679816216230392
2200,0.008753646165132523,0.001337129040621221,0.0017903571715578437,0.000265809940174222,0.004077133722603321,0.030652444809675217
2250,0.0035509741865098476,0.00027659093029797077,0.0016415882855653763,6.594088972633472e-06,0.003951862454414368,0.020309388637542725
2300,0.003837024327367544,0.00038488252903334796,0.0015123167540878057,1.6370600860682316e-05,0.003793929470703006,0.019508780911564827
2350,0.0009782497072592378,0.0015039731515571475,0.0019104548264294863,0.00035861614742316306,0.003456966718658805,0.02517293207347393
2400,0.002977879950776696,0.0006189908017404377,0.001260835095308721,3.186835965607315e-05,0.0034048284869641066,0.016523905098438263
2450,0.003602835116907954,0.0005024923011660576,0.002276295330375433,7.947057019919157e-05,0.0033957308623939753,0.027662986889481544
2500,0.002149733481928706,0.00033994638943113387,0.0014698449522256851,2.06688346224837e-05,0.0031937025487422943,0.017394818365573883
