trial,value,hidden,n_layers,lr,scheduler_gamma,scheduler_step,lambda_phys,lambda_ic,lambda_bc,final_loss_data,final_loss_phys,final_loss_ic,final_loss_bc,final_loss_val,final_loss_total
5,0.0007324579055421054,48,8,0.0029106359131330704,0.659195090518222,1500,0.0029375384576328283,1.3066739238053278,53.99484409787433,0.0003996357263531536,0.01727091707289219,0.002127281855791807,8.927693670557346e-06,0.0007324579055421054,0.0037120827473700047
0,0.0005580616998486221,48,8,0.0029106359131330704,0.659195090518222,1500,0.0029375384576328283,1.3066739238053278,53.99484409787433,0.000344555068295449,0.043741244822740555,0.0032584182918071747,1.3908210121371667e-06,0.0005580616998486221,0.004805834032595158
1,0.005495760124176741,80,7,0.00010994335574766199,0.8819459112971966,4500,0.004335281794951566,2.310201887845293,2.32706770838378,0.004223255440592766,0.05105799064040184,0.010339663363993168,6.052366006770171e-05,0.005734621547162533,0.028472159057855606
2,0.0020110264886170626,48,6,0.0007309539835912913,0.47473748411882516,3500,0.002621087878265439,3.839629299804171,5.404103854647328,0.0010847036028280854,0.281698077917099,0.0012907803757116199,1.2150147085776553e-05,0.0020611549261957407,0.006844837684184313
3,0.002452805172652006,64,7,0.00025081156860452336,0.608540663048167,3500,0.001378323745500718,16.40928673064792,2.1930485556643684,0.0012390114134177566,0.058732107281684875,0.0007538284990005195,1.834039721870795e-05,0.002547315089032054,0.013729972764849663
4,0.0017078251112252474,16,8,0.00853618986286683,0.7850384088698767,2000,0.001963434157293333,23.359635026261596,7.591104805282694,0.010832378640770912,0.031536102294921875,0.0032147138845175505,0.0001228916662512347,0.013695074245333672,0.08692172914743423
5,0.034511517733335495,16,6,0.00011715937392307068,0.8455922412472694,2000,0.0971777530505963,4.201672054372529,10.968217207529522,0.044611960649490356,0.01088580209761858,0.042757488787174225,0.00023861631052568555,0.03472108021378517,0.22793996334075928
6,0.0005872035399079323,80,4,0.00869299151113955,0.7650796940166689,5000,0.4835952776465949,15.696396388661142,69.78281265126033,0.0028747490141540766,0.008639583364129066,0.001255841925740242,7.096758963598404e-06,0.003994398284703493,0.02726023644208908
7,0.07971115410327911,16,4,0.00012315571723666037,0.49519819845795865,2500,0.006516990611177174,45.44383960336016,5.170191786366991,0.1033792495727539,0.03626623749732971,0.039520081132650375,0.00839068554341793,0.09091097116470337,1.9429413080215454
8,0.021677983924746513,48,6,0.00019135880487692312,0.7813181884524238,1000,0.9133995846860972,35.03398491158687,2.4970737145052717,0.03076329082250595,0.04434208199381828,0.00333865056745708,0.00011587394692469388,0.021976090967655182,0.1885209083557129
9,0.00023669918300583959,16,8,0.002592475660475161,0.7374043008245925,4000,0.0016677615430197913,5.211124595788264,1.7050539260269288,0.0002590765943750739,0.01331509742885828,0.00017425073019694537,3.13927125716873e-06,0.0005246623186394572,0.0011946778977289796
10,0.0018964264309033751,128,5,0.0019182740262525912,0.310777125368892,4000,0.018106492819272804,83.08860966122066,1.0525161528906528,0.0011526073794811964,0.03905035927891731,5.9581827372312546e-05,5.056426289229421e-06,0.0019724268931895494,0.006815565284341574
11,0.0034446262288838625,48,8,0.002733762389478879,0.6554989635091168,1000,0.015318021019478054,1.2838023084156347,74.32308912830165,0.0038681295700371265,0.051442887634038925,0.007745330221951008,7.865980933274841e-07,0.003545630257576704,0.014658067375421524
12,0.0002060298720607534,32,8,0.0033526796122717445,0.6850321159481426,3000,0.0010607795026559414,8.657857585898329,22.57543441890582,0.0004121236561331898,0.009228129871189594,2.3854650862631388e-05,2.2651740039236756e-07,0.0003575962036848068,0.000633556570392102
13,0.0026880239602178335,32,7,0.0010436095999423547,0.7043184893643012,3000,0.0010206964477164893,7.520735845066462,22.414286599801546,0.0013135364279150963,0.1313057541847229,0.0010713478550314903,5.251990387478145e-06,0.002774148480966687,0.00962260365486145
14,0.0020155503880232573,112,8,0.00466909389114884,0.5502300340260886,4000,0.04018915829923482,8.399037432330651,22.66651374553334,0.08186671137809753,8.976332396853941e-18,0.2000361979007721,7.020634802756831e-05,0.09072259813547134,1.7635695934295654
15,0.0021682740189135075,32,7,0.0009345884130938793,0.719060155373305,3000,0.008928449905054422,7.002949237064424,23.739001166616738,0.0017452116589993238,0.14446668326854706,0.0013233768986538053,4.720187280327082e-05,0.002491413149982691,0.013423142023384571
16,0.0005925780860707164,32,8,0.0016327246197599004,0.5784998976269707,5000,0.0845446573672886,4.362597510446985,13.772333275563298,0.002351689152419567,0.01785321533679962,0.00035770522663369775,2.8577401280927006e-06,0.0009486436611041427,0.0054609645158052444
17,0.00022702231945004314,64,7,0.004798156216545938,0.4098198017102643,4000,0.0012068605164306052,14.197178898013094,37.57461382527505,0.009207069873809814,0.04432626813650131,0.0006918451981619,1.949927764144377e-06,0.0061586336232721806,0.01915608160197735
18,0.00015018659178167582,96,7,0.00504701705576365,0.3535653274550316,2500,0.005595399159105623,14.040382358975972,39.97521205586988,0.00020783250511158258,0.006845700088888407,8.425156011071522e-06,4.582763040161808e-07,0.0001524686231277883,0.0003827490145340562
19,0.0005569629720412195,96,5,0.004749742790444666,0.30579184089342454,2500,0.00496372613540796,28.25438981903476,42.801567536378414,0.0004398062010295689,0.053369712084531784,5.480709296534769e-05,3.029879280802561e-07,0.0006262818933464587,0.0022662284318357706
20,0.01353700552135706,96,6,0.0004204467520543928,0.3856068691050395,2500,0.01593991299635033,68.60186271663123,14.602992300816643,0.0138087822124362,1.892969012260437,0.0008719995967112482,1.932945815497078e-05,0.01353700552135706,0.10408560186624527
21,0.0013852999545633793,64,7,0.005191583233081778,0.4020366767572535,3000,0.0010388971499934387,12.775103765337672,36.91262040550206,0.05044165626168251,2.1161017417907715,0.0008676376310177147,1.1118308975710534e-05,0.08115386217832565,0.0641346350312233
