epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total,nu_hat
50,0.052381232380867004,0.002799043897539377,0.0278753861784935,0.01314180064946413,0.02763999067246914,2.999328136444092,1.2369868755340576
100,0.03795034438371658,0.0008013537735678256,0.018646949902176857,0.0020193683449178934,0.031118573620915413,1.9308525323867798,1.2678594589233398
150,0.05029023066163063,0.0013392054243013263,0.00851353257894516,9.867733024293557e-05,0.011927242390811443,0.9160223603248596,1.0012894868850708
200,0.00792541541159153,0.002262451685965061,0.0009820141131058335,7.394971180474386e-05,0.007797512691468,0.12949083745479584,0.8201214075088501
250,0.004170841537415981,0.0005754204466938972,0.0060224938206374645,0.0011625989573076367,0.0017947242595255375,0.6238004565238953,0.6663010120391846
300,0.001480306964367628,0.0016548418207094073,0.0017425735713914037,0.00018964037008117884,0.00185730354860425,0.19418248534202576,0.5720681548118591
350,0.0015064537292346358,0.000565707974601537,0.0002672370173968375,0.00010557942732702941,0.004216581117361784,0.034943029284477234,0.526646077632904
400,0.002428553532809019,0.0007688854821026325,0.00031593296444043517,2.3335716832662e-05,0.0019388051005080342,0.04194406047463417,0.5019333362579346
450,0.0022268490865826607,0.00029468402499333024,0.0003189950657542795,1.8079643268720247e-05,0.0010995414340868592,0.03725399449467659,0.48493725061416626
500,0.003076474880799651,0.00024362831027247012,0.0019304222660139203,4.59663806395838e-06,0.001567549305036664,0.19860096275806427,0.46335628628730774
550,0.0008784164092503488,0.0004825240175705403,7.4391980888322e-05,2.2330141291604377e-05,0.0010371512034907937,0.013366155326366425,0.4469272792339325
600,0.0010185952996835113,0.00020537263480946422,9.953624248737469e-05,6.94023310643388e-06,0.0012223185040056705,0.013095349073410034,0.432634174823761
650,0.0010299542918801308,0.0002734085719566792,0.0004883173969574273,2.8878289413114544e-06,0.0007520782528445125,0.0526246577501297,0.41916000843048096
700,0.0007550467853434384,0.00022961899230722338,0.000709479849319905,3.7643033010681393e-06,0.0011231350945308805,0.0740368589758873,0.4044470191001892
750,0.00043725219438783824,0.00013765334733761847,7.120920781744644e-05,9.241289262718055e-06,0.0010919779306277633,0.009027119725942612,0.38915473222732544
800,0.0006686580018140376,0.00012919782602693886,9.394601511303335e-05,7.056324648146983e-06,0.0003758242237381637,0.011425801552832127,0.374665766954422
850,0.0007639824762009084,0.00019020188483409584,1.729935138428118e-05,4.525339591054944e-06,0.0004083542444277555,0.004441190045326948,0.359681636095047
900,0.00042727901018224657,0.00017537992971483618,6.787017628084868e-05,4.600753072736552e-06,0.00030496317776851356,0.009014103561639786,0.3451380431652069
950,0.00019258448446635157,0.0003201461222488433,5.64851397939492e-05,8.47768023959361e-06,0.0002865130954887718,0.009127335622906685,0.33076369762420654
1000,0.0005569577915593982,0.00014446071872953326,0.00015598702884744853,5.209232313063694e-06,0.000623567495495081,0.0176523607224226,0.3173985481262207
1050,0.0011886416468769312,9.253253665519878e-05,0.00046158209443092346,0.00010678786202333868,0.00032067843130789697,0.049340054392814636,0.3059256672859192
1100,0.0002981994184665382,5.703748684027232e-05,0.00010781861055875197,5.939538823440671e-06,0.00018485139298718423,0.011709830723702908,0.2947673201560974
1150,0.00020093384955544025,7.666164310649037e-05,6.5696491219569e-05,5.128398697706871e-06,0.0002856142818927765,0.007588483393192291,0.2855915427207947
1200,0.0004186790611129254,0.0001225624728249386,0.000212909173569642,4.579036612994969e-06,0.0002186868223361671,0.022981012240052223,0.27723613381385803
1250,0.0007392424158751965,7.298385753529146e-05,0.0003231121227145195,3.916741843568161e-05,0.0003577502502594143,0.03417196497321129,0.26963117718696594
1300,0.00022289394109975547,6.88432774040848e-05,3.630712399171898e-06,4.435248683876125e-06,7.523693784605712e-05,0.001318750437349081,0.2620577812194824
1350,0.00023267848882824183,7.157264917623252e-05,1.2054681974404957e-05,3.415095306991134e-06,0.00014462441322393715,0.0021880241110920906,0.2561912536621094
