epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.08091120421886444,1.0412261486053467,0.00105862389318645,0.09206989407539368,0.10190970450639725
100,0.11493714153766632,0.8182188272476196,0.00023247720673680305,0.07302231341600418,0.12544409930706024
150,0.07707624137401581,0.7531469464302063,0.0001260236749658361,0.06623650342226028,0.08586794883012772
200,0.05947934836149216,0.48112723231315613,2.1968426153762266e-05,0.05729374289512634,0.06451030820608139
250,0.075502410531044,0.3798515498638153,0.0012107652146369219,0.053076982498168945,0.09140858054161072
300,0.03615516051650047,0.257242351770401,0.0002630610251799226,0.04967610538005829,0.04135819524526596
350,0.03805491700768471,0.2478456050157547,0.0003369972400832921,0.039517611265182495,0.04390334337949753
400,0.05468703806400299,0.22868935763835907,0.0002226532087661326,0.02272791787981987,0.0592004619538784
450,0.01564706675708294,0.3654066026210785,0.00023849308490753174,0.017318731173872948,0.021686064079403877
500,0.03922627493739128,0.4781450629234314,0.0010111258598044515,0.01361653208732605,0.05411898344755173
550,0.005993549712002277,0.17385447025299072,4.416612864588387e-05,0.015585362911224365,0.008173755370080471
600,0.006937535014003515,0.2989082634449005,0.0003750853065866977,0.014672118239104748,0.01367747038602829
650,0.017262687906622887,0.31978389620780945,1.4258098417485598e-06,0.011129158549010754,0.020474785938858986
700,0.01985878497362137,0.25891417264938354,0.0001243538863491267,0.012315664440393448,0.023691466078162193
750,0.017523091286420822,0.18886640667915344,3.827676482615061e-05,0.012393937446177006,0.0197945237159729
800,0.010153267532587051,0.22355283796787262,9.525690256850794e-05,0.008713720366358757,0.013341364450752735
850,0.014181428588926792,0.18011315166950226,0.0002077302196994424,0.010027937591075897,0.01805986277759075
900,0.011926227249205112,0.27626514434814453,0.00020821586076635867,0.007912064902484417,0.016771037131547928
950,0.013480986468493938,0.14251963794231415,4.415116927702911e-05,0.0072763534262776375,0.015347694978117943
1000,0.009136421605944633,0.08703961223363876,0.0008273228304460645,0.006658496800810099,0.018280046060681343
1050,0.003653004765510559,0.08982662856578827,1.9914325093850493e-05,0.005021093878895044,0.004750414285808802
1100,0.01062964741140604,0.09573476016521454,0.0001460486964788288,0.004987721331417561,0.013047481887042522
1150,0.006489521823823452,0.0900808572769165,1.5085370250744745e-06,0.0019766944460570812,0.0074054161086678505
1200,0.007274717092514038,0.060362596064805984,0.00012758318916894495,0.003365573938935995,0.009154174476861954
1250,0.003673178143799305,0.05716363340616226,5.030164174968377e-05,0.001255861483514309,0.004747831262648106
1300,0.004445576574653387,0.09614817798137665,6.7238020164950285e-06,0.0012707212008535862,0.005474296398460865
1350,0.007424576207995415,0.09565138071775436,2.1494564862223342e-05,0.0013986524427309632,0.008596035651862621
1400,0.003533825743943453,0.08955296874046326,1.8867868902816554e-06,0.002137947827577591,0.004448222927749157
1450,0.005242924205958843,0.06862325966358185,9.519848390482366e-06,0.002710013883188367,0.0060243550688028336
1500,0.0018321546958759427,0.0824815183877945,1.167403934232425e-05,0.002163916127756238,0.0027737102936953306
1550,0.009158555418252945,0.06638968735933304,0.00012686339323408902,0.0020717366132885218,0.011091086082160473
1600,0.0045671118423342705,0.12391999363899231,0.00012071244418621063,0.002507130615413189,0.007013436406850815
1650,0.0029540956020355225,0.1400844305753708,8.228635851992294e-05,0.003224853193387389,0.005177803337574005
1700,0.0025944309309124947,0.0730385035276413,4.3425156036391854e-05,0.0015024463646113873,0.0037590675055980682
1750,0.006596528459340334,0.119652658700943,0.00010722360457293689,0.002489351434633136,0.008865291252732277
1800,0.00532977469265461,0.06130748987197876,1.128919484472135e-05,0.0013074394082650542,0.00605574157088995
1850,0.006091421004384756,0.06376305967569351,2.773164669633843e-05,0.0031019682064652443,0.007006368134170771
1900,0.00348931853659451,0.07548622786998749,4.311516386223957e-05,0.001532338559627533,0.004675332456827164
1950,0.0071351914666593075,0.08729243278503418,9.943322220351547e-05,0.0017967337043955922,0.009002448059618473
2000,0.0023213992826640606,0.07460089027881622,4.5683893404202536e-05,0.003333909437060356,0.0035242470912635326
2050,0.010796844959259033,0.08119293302297592,1.7012791431625374e-05,0.0025134978350251913,0.01177890133112669
2100,0.004472902975976467,0.0859132632613182,1.599920869921334e-05,0.0023865895345807076,0.005492027383297682
2150,0.002126936335116625,0.08074836432933807,5.30764227733016e-05,0.0016066004754975438,0.0034651842433959246
2200,0.003155034501105547,0.0802161768078804,9.993783896788955e-05,0.0022168017458170652,0.004956574644893408
2250,0.005161949899047613,0.07308824360370636,2.806803422572557e-05,0.0009865729371085763,0.0061735124327242374
2300,0.0015149537939578295,0.048434071242809296,3.0158493245835416e-05,0.002160942181944847,0.002300879219546914
2350,0.003969329874962568,0.070968858897686,2.69155661953846e-05,0.002611350966617465,0.004948174115270376
2400,0.003860719734802842,0.060350075364112854,2.7039307042286964e-06,0.0017158042173832655,0.004491259343922138
2450,0.0030996170826256275,0.08504721522331238,2.083787421724992e-06,0.0005325644742697477,0.003970927093178034
2500,0.0033574369736015797,0.06742149591445923,1.996173341467511e-05,0.00229701679199934,0.004231269471347332
2550,0.0035908068530261517,0.0942155122756958,2.5274181098211557e-05,0.001249650027602911,0.004785703960806131
2600,0.01053247693926096,0.043515074998140335,2.7576457796385512e-05,0.0010450799018144608,0.011243392713367939
2650,0.003824230981990695,0.09812483191490173,0.0001585605787113309,0.0022612931206822395,0.006391084752976894
2700,0.007406189106404781,0.07705529034137726,2.0692054022219963e-05,0.0020449033472687006,0.008383662439882755
2750,0.0018542985199019313,0.08350642770528793,2.2686059310217388e-05,0.0006728169391863048,0.002916223369538784
2800,0.00362311745993793,0.050179362297058105,5.8689911384135485e-06,0.0016058662440627813,0.004183601122349501
2850,0.004309407901018858,0.05916878581047058,0.0001076599583029747,0.0022884393110871315,0.005977695342153311
2900,0.0009121940820477903,0.12725003063678741,2.50262237386778e-05,0.0038351002149283886,0.002434956608340144
2950,0.007846352644264698,0.09124483168125153,4.752873064717278e-05,0.0023071321193128824,0.009234088473021984
3000,0.005283792968839407,0.05749792978167534,2.925077933468856e-05,0.006173158995807171,0.006151280365884304
3050,0.002289639553055167,0.07262125611305237,6.400386155291926e-06,0.000679053133353591,0.003079855814576149
3100,0.0029399895574897528,0.04303973540663719,2.598465835035313e-05,0.0007694351952522993,0.003630233695730567
3150,0.002181793563067913,0.0386754535138607,2.596691501821624e-06,0.0007904878002591431,0.0025945149827748537
3200,0.0022377409040927887,0.0454552136361599,1.1618363714660518e-05,0.0003052375395782292,0.0028084765654057264
3250,0.0034397090785205364,0.02489059790968895,1.2661252185353078e-05,0.0006118869641795754,0.0038152276538312435
