epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.21967697143554688,0.010019084438681602,0.007358822040259838,0.18877191841602325,0.29426711797714233
100,0.11803882569074631,0.01919693872332573,0.0007044632802717388,0.08240941911935806,0.12700314819812775
150,0.09383144974708557,0.034621838480234146,0.0001024888115352951,0.06053578853607178,0.09831851720809937
200,0.0545622780919075,0.04580894857645035,6.74583570798859e-05,0.04712142050266266,0.059817757457494736
250,0.026720387861132622,0.05560506880283356,4.2776187910931185e-05,0.03686610236763954,0.032708656042814255
300,0.016534922644495964,0.0649440661072731,4.18199815612752e-05,0.027973327785730362,0.02344752848148346
350,0.01296756137162447,0.06157875433564186,4.243917646817863e-05,0.022832179442048073,0.01954982988536358
400,0.00920898001641035,0.054862964898347855,3.178530459990725e-05,0.018457861617207527,0.015013129450380802
450,0.015744678676128387,0.04614778980612755,1.7918491721502505e-05,0.014828705228865147,0.02053864300251007
500,0.018553901463747025,0.036767587065696716,7.5493385338631924e-06,0.011168825440108776,0.022306153550744057
550,0.005398587789386511,0.02930978313088417,1.389378098792804e-06,0.008900192566215992,0.008343460038304329
600,0.0047020199708640575,0.023933324962854385,1.0900141205638647e-05,0.007107481826096773,0.007204354275017977
650,0.0025463099591434,0.02011648751795292,6.6649217842496e-06,0.005783653352409601,0.004624607972800732
700,0.006885566283017397,0.0164067130535841,6.4497462517465465e-06,0.0048182569444179535,0.008590735495090485
750,0.0035761964973062277,0.01511533372104168,1.7908841982716694e-05,0.003964382689446211,0.005266818217933178
800,0.004646594636142254,0.012090829201042652,1.3609811055914633e-08,0.0036337142810225487,0.00585581362247467
850,0.0020275129936635494,0.010678937658667564,1.3110628970025573e-05,0.003372248960658908,0.0032265130430459976
900,0.0030360869131982327,0.008211293257772923,4.2480387492105365e-05,0.003193031530827284,0.004282020032405853
950,0.004254193510860205,0.006790845189243555,8.750276720093098e-06,0.003097302746027708,0.0050207809545099735
1000,0.0021603223867714405,0.0058039529249072075,9.43743816606002e-06,0.002944719046354294,0.0028350921347737312
1050,0.003514620242640376,0.006936065852642059,0.00012133970449212939,0.0026013595052063465,0.005421623587608337
1100,0.005868797656148672,0.004713593516498804,1.5030565236884286e-07,0.0025769760832190514,0.0063416603952646255
1150,0.0018465587636455894,0.006259803660213947,7.163976260926574e-05,0.0026557492092251778,0.003188936971127987
1200,0.000770610582549125,0.004401255398988724,8.442585567536298e-06,0.002486404962837696,0.001295162015594542
1250,0.0022328398190438747,0.0041395737789571285,6.087471319915494e-06,0.002419302938506007,0.0027076718397438526
1300,0.0021435110829770565,0.0030733596067875624,8.16282579307881e-07,0.002383022801950574,0.002459009876474738
1350,0.0024137338623404503,0.0065199160017073154,0.00013445662625599653,0.0024153736885637045,0.004410292021930218
1400,0.002737581729888916,0.0028950623236596584,4.9949062486120965e-06,0.0023264854680746794,0.0030770371668040752
1450,0.0025166382547467947,0.00870642438530922,0.00022860454919282347,0.002214291598647833,0.005673326551914215
1500,0.0030365425627678633,0.0031185178086161613,3.904038021573797e-05,0.002337130019441247,0.003738798201084137
1550,0.003244156250730157,0.0021636197343468666,3.3878728572744876e-05,0.002253006212413311,0.0037993055302649736
1600,0.0028145601972937584,0.0022420017048716545,3.771671254071407e-05,0.0022191882599145174,0.003415927290916443
1650,0.003952502738684416,0.0032917617354542017,7.041161734377965e-05,0.002183397999033332,0.0049857948906719685
1700,0.001236909767612815,0.0019749149214476347,1.3678480172529817e-05,0.002192484913393855,0.0015711861196905375
1750,0.001946697011590004,0.0017649276414886117,1.7961242519959342e-06,0.0021945566404610872,0.002141151111572981
1800,0.0023205855395644903,0.003075217828154564,7.610434840898961e-05,0.002199658425524831,0.0033891508355736732
1850,0.0017581445863470435,0.0014118474209681153,7.743165042484179e-06,0.0021802466362714767,0.0019767610356211662
1900,0.0030805286951363087,0.002276652492582798,9.866851542028598e-06,0.0022118198685348034,0.0034068624954670668
1950,0.0016930893762037158,0.0015680135693401098,1.3874469004804268e-06,0.0021933913230895996,0.001863765181042254
2000,0.0018684681272134185,0.006550176534801722,0.0002984075399581343,0.0022637147922068834,0.005507561378180981
2050,0.0025172573514282703,0.0012397831305861473,6.25495522399433e-05,0.002203697105869651,0.0032667312771081924
