epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total
50,0.0022303066216409206,0.0008042763220146298,0.00040852802339941263,0.00043984889634884894,0.002191583625972271,0.032350242137908936
100,0.0016577085480093956,0.0005008258740417659,0.0002012201293837279,0.00016584688273724169,0.0016728377668187022,0.016564399003982544
150,0.0017817787593230605,0.0002785882097668946,0.00019162650278303772,0.000147496975841932,0.0012766853906214237,0.014775904826819897
200,0.0009130127727985382,0.00014541858399752527,0.00018469721544533968,9.162216883851215e-05,0.0009441219153814018,0.012250826694071293
250,0.0004459063056856394,8.679351594764739e-05,0.00017566161113791168,7.779493171256036e-05,0.0007193829515017569,0.010850626043975353
300,0.0003746142901945859,6.229987775441259e-05,0.0002453640627209097,0.00026011079899035394,0.0007505663088522851,0.016096342355012894
350,0.0004925563698634505,3.533083145157434e-05,0.0002004682901315391,4.915542740491219e-05,0.0004570495511870831,0.011617830023169518
400,0.0004742179880850017,2.4230230337707326e-05,0.00010151000606128946,1.3155003216525074e-05,0.000268257426796481,0.00602538138628006
450,0.00026447392883710563,1.636045635677874e-05,7.411547267111018e-05,3.4090957342414185e-05,0.00018208099936600775,0.004555041901767254
500,0.000165381352417171,8.978608093457296e-06,8.57578415889293e-05,2.2424139388022013e-05,0.00017547677271068096,0.004904651548713446
550,0.00014203877071850002,1.192624586110469e-05,1.7604634194867685e-05,3.3498047287139343e-06,3.940586975659244e-05,0.0011581805301830173
600,0.00014283637574408203,9.23837251320947e-06,2.5358142011100426e-05,3.829007710010046e-06,3.629038837971166e-05,0.001552619505673647
650,0.00021435137023217976,8.01242913439637e-06,1.584510573593434e-05,6.15591261521331e-07,2.9158147299312986e-05,0.0010898803593590856
700,0.00044985240674577653,4.383230589155573e-06,0.00032990079489536583,0.00042763553210534155,0.00013503532682079822,0.021928176283836365
750,0.00014204956823959947,4.849227025260916e-06,1.622699164727237e-05,9.718929732116521e-07,2.0851701265200973e-05,0.0010235256049782038
800,7.20975804142654e-05,3.5287753235024866e-06,1.4847717466182075e-05,5.997883363306755e-07,2.157895141863264e-05,0.0008707293309271336
850,0.00010899462358793244,3.319335519336164e-06,3.511157774482854e-05,5.143776797922328e-05,5.163712194189429e-05,0.0024699734058231115
900,0.00016964522365015,3.748964218175388e-06,7.635212386958301e-05,0.00020081113325431943,0.0001713264500722289,0.006174102891236544
950,0.0005291646812111139,2.3944160147948423e-06,0.000263386988081038,6.236683111637831e-05,0.00033829317544586957,0.014880468137562275
1000,9.778381354408339e-05,1.4623714150729938e-06,9.431106263946276e-06,9.561389560985845e-06,1.2120174687879626e-05,0.0006925597554072738
1050,0.00012396773672662675,1.6903815094337915e-06,5.9316585065971594e-06,7.941771400510333e-07,4.831384103454184e-06,0.00045011911424808204
1100,0.0001093216342269443,1.1917182973775198e-06,5.5777804846002255e-06,1.0890598787227646e-06,4.993355105398223e-06,0.0004172367916908115
1150,0.00011324955994496122,1.1932658026125864e-06,5.287442036205903e-06,3.175520362219686e-07,2.9158525194361573e-06,0.00039834046037867665
1200,7.954853208502755e-05,1.3700125691684661e-06,5.286773102852749e-06,8.22972651803866e-07,4.8875399443204515e-06,0.0003706366696860641
1250,0.00014257155999075621,1.1849234624605742e-06,5.710263394576032e-06,4.4125208660261706e-06,5.13972008775454e-06,0.0004905820242129266
1300,8.710843394510448e-05,1.0963165095745353e-06,4.65629364043707e-06,7.729066737738322e-07,2.5362244286952773e-06,0.00034335305099375546
1350,0.00010944348468910903,1.4912877759343246e-06,5.713779046345735e-06,3.7775191685796017e-07,1.4333524632093031e-05,0.00041898430208675563
1400,9.300187230110168e-05,1.2250912959643756e-06,7.203233508334961e-06,1.0418015108371037e-06,1.3593092262453865e-05,0.0004852653364650905
1450,0.00012384990986902267,8.754961413615092e-07,1.591520049259998e-05,1.7046761058736593e-05,3.146764129269286e-06,0.0011278552701696754
1500,8.44851674628444e-05,7.60374348374171e-07,1.1018717486876994e-05,2.237693706774735e-06,1.3911811947764363e-05,0.0006848062621429563
1550,0.0001440328633179888,7.807763040545979e-07,4.198086116957711e-06,4.0529309330850083e-07,1.8719318859439227e-06,0.00037099706241860986
1600,0.00017427872808184475,8.063216228038073e-07,2.102704456774518e-05,5.794604930997593e-06,1.6530893844901584e-05,0.0013315501855686307
1650,0.00011408421414671466,1.4467584605881711e-06,6.885976745252265e-06,3.3496401101729134e-06,2.4458633561152965e-05,0.0005141330766491592
1700,0.00011775939492508769,7.45639113119978e-07,3.788146841543494e-06,9.927003929988132e-07,3.5406803817750188e-06,0.0003290579479653388
1750,0.00010119243961526081,7.023466537248169e-07,6.2563253777625505e-06,2.643648940647836e-06,6.250133992580231e-06,0.00045727743417955935
1800,9.047513594850898e-05,1.181439643005433e-06,2.036858677456621e-05,2.3358095859293826e-05,2.4614726498839445e-05,0.0013911713613197207
1850,0.00011021582031389698,4.840508722736558e-07,4.951114533469081e-06,6.770288791813073e-07,8.443052138318308e-06,0.0003774654178414494
1900,9.51612091739662e-05,6.84096448821947e-07,3.842942078335909e-06,2.39241421695624e-06,1.7325874068774283e-06,0.0003229695721529424
1950,0.00011535715748323128,1.5001253359514521e-06,3.971436672145501e-05,3.364573558428674e-06,6.801396375522017e-05,0.0022252032067626715
