trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
84,complete,3.1330228011938743e-06,48,6,2.4968456418272673,18.087562991907376,0.0058894892500980876,0.41104969292576554,5000,0.9186787135098254,0.9965337627927117
90,complete,5.081976269138977e-06,48,6,0.0261091344676824,32.87993979708776,0.005156078999826834,0.5497890980961831,5000,0.8997504488812774,0.9950149673901201
93,complete,4.691597951023141e-06,48,6,9.104920818524116,44.26319767495868,0.009041459207730649,0.3729111154428871,5000,0.878758087668278,0.9955317031227051
101,complete,1.5802219195393263e-06,48,5,7.136482636776534,60.05552904201257,0.006839961728012141,0.41708675288621755,1000,0.8514723655209232,0.9920012932585945
103,complete,1.6433934888482327e-06,48,5,4.554033936956045,59.64527864444093,0.007171680098755472,0.4376027387145734,1000,0.8555573265555351,0.9913410469611253
105,complete,1.8378228787696571e-06,48,5,0.068062720095179,44.958257767375216,0.008202346399403992,0.43729092493764143,1000,0.8592791710860774,0.9919017634053627
111,complete,2.142301809726632e-06,48,5,0.07169448034811154,44.80307741040857,0.009125920439301952,0.443621789040061,1000,0.8585060063092933,0.9917601954029158
113,complete,2.3471077383874217e-06,48,5,0.09439948171285782,53.17800109065017,0.008312642566593982,0.4424324248797817,1000,0.852611577890036,0.9912277731585598
123,complete,3.0345845516421832e-06,48,5,0.03330115200854655,49.39436561333245,0.009951721587979332,0.401933478503336,1000,0.850185693506553,0.9919910381485582
133,complete,1.963134764082497e-06,48,5,3.0044223078948935,50.96453110018453,0.009997627538565035,0.4119699622347923,1000,0.8575854055301527,0.9934808603632529
134,complete,1.8728412669588579e-06,48,5,3.2545594097076718,50.77408055583994,0.009266175224911417,0.40975223431025265,1000,0.8586477355768444,0.993702208299514
135,complete,3.7017402974015567e-06,48,5,3.25119793116694,52.08574267330622,0.00918153422815014,0.4048482552537423,1000,0.8634041211504625,0.9935121009824952
136,complete,2.1610974272334715e-06,48,5,2.5897590443343756,49.59193187290656,0.009934036558330183,0.4381677587696615,1000,0.872061547350056,0.9925878642721835
137,complete,2.0546606265270384e-06,48,5,3.0648634335911504,42.943166811943335,0.009964320362049308,0.4368205590359667,1000,0.87358035020027,0.9939535740002627
138,complete,3.030047082575038e-06,48,5,2.877157382969973,41.81044647612564,0.009027381169681641,0.46195941025524984,1000,0.8728589462011066,0.9944486816255554
141,complete,3.207320560250082e-06,48,5,2.9108140450028768,42.900851829777395,0.009094854394252653,0.45723898308075533,1000,0.8725343712117266,0.9942826095988445
142,complete,2.6646848709788173e-06,48,5,2.223326510820784,43.00224838086276,0.008547315532773816,0.4730370046898772,1000,0.8826864703558408,0.9938633132693407
143,complete,1.4807743582423427e-06,48,5,5.532503756623593,52.06934481094991,0.00849213404061191,0.47714249061247105,1000,0.8819437063005692,0.993825371296889
145,complete,2.9218781492090784e-06,48,5,4.277835700258747,51.2705175890171,0.009175950983835376,0.4912256376171851,1000,0.8844419086836208,0.9940532442891684
147,complete,1.552122967041214e-06,48,5,6.691873275373506,87.05468231496991,0.008562823162943902,0.4829797307691556,1000,0.8873695749811664,0.9938359566241769
151,complete,3.618514483605395e-06,48,5,2.1470284924840084,69.89670706582167,0.008606269032289317,0.4634893601125941,1000,0.8873776955394028,0.9939197825848916
152,complete,3.004200607392704e-06,48,5,3.6196470356557264,57.548049589073344,0.008679680222551929,0.44863781986678414,1000,0.8822050745467973,0.9941892373387764
