trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
0,complete,0.042154401540756226,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000
1,complete,0.0001547355786897242,112,5,0.679657809075816,1.0994335574766196,0.008706020878304856,0.7994655844802532,2000
