trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
0,complete,0.004482760559767485,48,6,0.8471801418819978,15.75132049977973,0.0002051338263087451,0.3935967122017216,1000,0.9712646604084909,0.9959510386162578
1,complete,0.009850572794675827,96,2,7.579479953348009,46.22589001020831,0.00026587543983272726,0.4090949803242604,1000,0.8925939140143353,0.9951950886731592
2,complete,0.006166238337755203,64,3,0.2801635158716261,1.9010245319870354,0.0003839629299804173,0.5198171059762151,3000,0.9599246345950219,0.9919767704433677
3,complete,0.004343670792877674,80,4,0.0015339162591163618,16.40928673064792,0.00021930485556643703,0.3390309557911677,5000,0.9851884846304383,0.998003133746353
4,complete,0.011609491892158985,48,2,0.5456725485601477,7.591104805282694,0.00017541893487450815,0.5971061460667622,1000,0.9773048562910295,0.9925619218178402
7,complete,8.82813474163413e-05,48,3,0.14817820606039092,1.9135880487692298,0.0040215545266902904,0.3447303862078625,5000,0.9581142677015321,0.9919672852471884
8,complete,0.0008155198884196579,16,6,0.6720930050156113,28.70875348195468,0.0034877126245459306,0.3444267910404542,2000,0.8662216683335181,0.9985447239161683
11,complete,0.0005969766643829644,16,5,3.014081614611621,73.47973767867614,0.0037539522659534334,0.3124093411638383,3000,0.8604465441190641,0.9998807207324026
12,complete,0.00015496424748562276,16,5,5.208143324730921,91.35711670702345,0.002048794692741816,0.4646909839694886,3000,0.9287649115322774,0.9932765096125924
14,complete,8.630519005237147e-05,32,5,2.892929314369735,5.578490353906736,0.0015559442067310046,0.5939952036534855,3000,0.9162968170837362,0.9904934515212983
15,complete,0.0005682165501639247,48,4,0.03206350124459488,5.424156948928395,0.0008395201719710421,0.6468973569972776,2000,0.9047801113382941,0.9904447415916816
16,complete,3.5133682104060426e-05,32,4,2.281166987382632,3.1180932081260746,0.008077302467797419,0.8680829558481382,5000,0.9517750652503263,0.9914818486369154
17,complete,6.002832014928572e-05,32,5,1.6221684653717652,3.393293543107886,0.005702835691386685,0.898988925887855,4000,0.9477994511360902,0.9912425550065137
18,complete,7.33205015421845e-05,32,5,1.5447538609348965,3.624039165647309,0.00888359972144778,0.8885676905898321,4000,0.9572799194166056,0.9913670153322436
19,complete,3.592792199924588e-05,64,4,1.6385963781957906,1.2201176204653303,0.006038784772477498,0.8097413093302093,5000,0.9462534630722067,0.9941655783556793
21,complete,9.520437743049115e-05,32,4,1.7190595313968355,2.7777979130088095,0.006282032101979027,0.8190454099291047,5000,0.9472536578820298,0.99598601928897
22,complete,7.876761083025485e-05,64,4,0.38630149186931484,1.3687413121990022,0.006345411656280451,0.8269812907255264,4000,0.9465898810296218,0.9936161923410664
23,complete,4.239979534759186e-05,32,5,1.3029705066831894,1.6949751557360428,0.005755094635217657,0.743034415767149,5000,0.9445241907330133,0.9913243340931223
24,complete,5.961065835435875e-05,112,4,3.71873871918125,1.6408065425115257,0.004994628925003602,0.7525671877338214,5000,0.9263703495680184,0.9969976459942287
26,complete,4.430695480550639e-05,16,5,1.0656969862932402,1.3711441239432374,0.009264889037334622,0.7764838168105423,5000,0.9103891642283521,0.9912445155156525
30,complete,0.00010868140088859946,48,6,2.07912637683343,4.680091082386796,0.006905432578652642,0.8533362170043058,5000,0.928676747743048,0.9969890265788458
31,complete,2.8841199309681542e-05,16,5,0.9657390125198574,1.3369605444670367,0.009428424059646152,0.7526332069623146,5000,0.902474155363813,0.9912664652382781
40,complete,5.4233401897363365e-05,48,5,0.08680238130224395,3.1930458419858803,0.007503237015570158,0.620551949921775,5000,0.9706434581836686,0.9939777832269874
41,complete,2.2083400835981593e-05,16,5,1.042491061529106,1.4293926240091221,0.009981524612566683,0.7626721878351013,5000,0.9150915070500305,0.9908839184614316
44,complete,4.675912714446895e-05,32,5,1.2301802328755138,1.1850017402002953,0.00427401692867896,0.7574586959475464,4000,0.908552219759372,0.9923058709526633
49,complete,6.121806654846296e-05,32,5,2.3609821250119802,1.4714042464842638,0.005491410161231564,0.87161105246396,3000,0.9628641755045204,0.9906296187725795
54,complete,4.6245197154348716e-05,32,4,1.9300916233230725,1.3613246296709096,0.009909377613575035,0.8112323317118799,5000,0.8948634957194993,0.9912425868115542
55,complete,0.00011080843978561461,48,5,0.4683156134400295,2.359309651506471,0.006132209950142442,0.8825655303228438,5000,0.8848215946111444,0.9923837385330648
62,complete,2.0532355847535655e-05,32,4,0.9329915836468673,1.5138737544091823,0.009979925889448397,0.839771131981219,5000,0.8950079069575685,0.9919909553253988
70,complete,6.701825623167679e-05,48,4,0.7640248521235167,2.570399827920408,0.008562488184793169,0.7844352391767825,5000,0.9610312833126431,0.9915327090322771
71,complete,5.5901789892232046e-05,32,4,1.6617538267484415,1.346988286644793,0.009891584088530801,0.8092639883314715,5000,0.8940566552348093,0.9912027326858469
75,complete,4.0476217691320926e-05,48,5,1.331570628572039,1.1813997471068989,0.00863059817416561,0.7115024373643273,5000,0.8774256061156983,0.9911418454190782
76,complete,7.372500112978742e-05,48,5,0.6030818174778696,1.1076095135886188,0.008560505389026536,0.6664666250113471,5000,0.8802837925000071,0.9909533282539486
79,complete,4.088529385626316e-05,48,5,0.498695883701148,1.13186463712274,0.007634942577452779,0.7419320905649447,5000,0.9166847552307611,0.9974858985728854
80,complete,2.7177351512364112e-05,48,6,0.32519798444134523,1.1440133265158345,0.007320163373767806,0.6409292901570097,2000,0.9510510593817685,0.9966759233524918
81,complete,2.6196181352133863e-05,48,6,0.3184206214542196,1.0003381350082363,0.007423960356002876,0.6002474896787416,2000,0.949435544596849,0.9975205645619324
82,complete,2.5005978386616334e-05,48,6,0.2327929354458682,1.0041827258073153,0.007216940448984658,0.6277986020465092,2000,0.9667913902666666,0.9976965712115069
83,complete,3.927581929019652e-05,48,6,0.2993618349854004,1.0152074535226912,0.006666163484734107,0.6243816676704521,2000,0.974737280600754,0.9977356160940916
84,complete,3.027310231118463e-05,48,6,0.2602919245561351,1.0216479940187888,0.00665036670505633,0.6159090358808565,2000,0.9754758862902637,0.9980638764156936
90,complete,3.331479456392117e-05,48,6,0.35233291776546827,1.0037217502062201,0.006797973384154808,0.6190743227338577,2000,0.979588852238886,0.9973757967842317
92,complete,7.690410711802542e-05,64,6,0.14912132132278008,1.1044231683003602,0.008881798153105221,0.6313095322148892,2000,0.9793812509628774,0.9966146092377816
93,complete,3.933759217034094e-05,48,6,0.3344147899662903,1.4158322443651445,0.00787492912026727,0.6532376603506793,2000,0.965341344511294,0.997879196720648
94,complete,3.654397733043879e-05,48,6,0.41881081005520354,1.2657503667496386,0.0062001169064239605,0.5829509975684193,2000,0.9693402213088511,0.9976194346574653
95,complete,2.565480099292472e-05,48,6,0.24683113182687352,1.6139413103219926,0.007041044677923489,0.5320871004424153,2000,0.9767718586130133,0.9956230514696289
101,complete,4.068641283083707e-05,64,6,0.5398139481293586,1.4975287283895,0.006422536755663979,0.6661466295070458,2000,0.9480609228345717,0.997332343308886
111,complete,2.2006919607520103e-05,48,6,1.0219451779517394,1.2696006453681805,0.0062216903014724635,0.5824005549899629,2000,0.9696275505927702,0.997638419264732
112,complete,3.082524926867336e-05,48,6,2.3431507961368188,1.4243637480031357,0.006610597088661471,0.5678944883447326,3000,0.9761412241802322,0.9962959692420802
113,complete,5.065583536634222e-05,48,6,0.9537396919949716,1.4260954405139938,0.006686311425568235,0.5050488967378352,3000,0.9768744443073895,0.9963253207850162
114,complete,3.62355713150464e-05,48,6,2.3400380672901844,1.8711351237654947,0.007968915446574736,0.5682920905919033,3000,0.9679932668415784,0.998648994441762
116,complete,4.638676546164788e-05,48,6,4.105868056045154,1.2838099525662532,0.009847648578793469,0.5456210198923925,2000,0.972331393451415,0.9976063642523755
122,complete,5.176181730348617e-05,64,6,2.3181764239196676,1.3373328252969794,0.007198163875598575,0.6331731411900149,2000,0.9076386113419013,0.9974956332982704
124,complete,2.3895769118098542e-05,48,6,0.8192611640955727,1.5574663847330816,0.006586002676669196,0.5111328528794833,2000,0.9644837290282364,0.9966784207902528
126,complete,7.195985381258652e-05,48,6,0.8850646822177972,1.5669933220032297,0.009041964003828673,0.5241762727406037,2000,0.9741021708799699,0.9966869610617722
132,complete,2.953435614472255e-05,48,6,0.9526635957540258,1.25664016763606,0.008383681587973181,0.5944461524546136,2000,0.9686982024257137,0.9975064362364566
133,complete,3.3174095733556896e-05,48,6,0.761943568391033,1.2459455458350288,0.008065833261702819,0.5843368789040221,2000,0.9685527263754967,0.9974815002047676
134,complete,4.1592960769776255e-05,48,6,0.7584187132122169,1.2496290425201888,0.008478738212920072,0.5847297722286469,2000,0.9682525166814347,0.9974788867340274
136,complete,3.037316128029488e-05,48,6,0.9820666854430216,1.3091252661922526,0.005915097706712005,0.5386628317539157,2000,0.9623139882664503,0.9981471273197042
138,complete,3.65252053597942e-05,48,6,1.3416753466789955,1.3634462920439432,0.009036295235168301,0.5370822152998137,2000,0.9668363646760302,0.9981806369575216
139,complete,2.8630727683776058e-05,48,6,1.6560342016336722,1.1699001486694238,0.008292984550439945,0.465374359694804,2000,0.9701403892355963,0.9986754709027171
141,complete,3.225859472877346e-05,48,6,0.8139857358028164,1.285870636134104,0.00808469703415465,0.4918919656896694,2000,0.9718076022153123,0.9983570764035203
142,complete,3.0136119676171802e-05,48,6,0.9050434874857582,1.4595308498013688,0.007431792762804924,0.46302648985622485,2000,0.9006083198712517,0.9992031369609166
145,complete,3.3572272513993084e-05,48,6,1.6911073020028435,1.4275695499972132,0.00902171260388415,0.5589823871416352,2000,0.9578119122526859,0.9997280936370104
151,complete,1.928257552208379e-05,48,6,0.7506919663130707,1.300576126898854,0.008058813132323052,0.49443601558474776,2000,0.971283305080523,0.9983240368967401
155,complete,1.82041221705731e-05,48,6,0.8492401195123005,1.0832809431790122,0.009359041703234393,0.5691574093731004,2000,0.9652936739509087,0.9985587727801558
156,complete,3.0572609830414876e-05,48,6,0.8553654030805834,1.0981322564035347,0.009179801001298935,0.4972481967162955,2000,0.9649710997809614,0.998507534970648
160,complete,1.1913775779248681e-05,48,6,1.4436175696864686,1.208879889915883,0.008107423024599936,0.6087292509353994,2000,0.9145715262331492,0.9985326991412127
167,complete,4.903069566353224e-05,48,6,1.6909175930313642,1.197656377862422,0.007190875801665722,0.6995671771881792,2000,0.9232387147301839,0.9980216519677783
168,complete,7.763176108710468e-05,64,6,0.5685485952508036,1.9176733571186861,0.008305217860782558,0.5934021267559109,2000,0.9091878084190544,0.9985995631976295
171,complete,2.8978347472730093e-05,48,6,0.8545756103091715,1.1066193013727446,0.00925882700323813,0.49622976600789637,2000,0.9641995232550542,0.9984423767180907
172,complete,3.2699481380404904e-05,48,6,0.8885384593453106,1.0898444850733056,0.009774656968603575,0.4888223880760392,2000,0.961590008123786,0.9981223331742651
174,complete,3.2651219953550026e-05,48,6,1.1638628900047918,1.0021595309192906,0.009144556406730724,0.4748408312473941,2000,0.9635901739535195,0.9988160479262678
180,complete,4.170037209405564e-05,48,6,1.1827388535385346,1.3651422857682545,0.008361914844926833,0.613826399860747,2000,0.9021093740893196,0.9975329017686784
181,complete,2.7709769710781984e-05,48,6,0.8488983491325391,1.0783940464711899,0.009259491931303755,0.5062547178347181,2000,0.9664303364022556,0.998607960728218
182,complete,2.6334582798881456e-05,48,6,0.8669269034999066,1.1148856325761551,0.00924766511652854,0.49186846619104535,2000,0.9689661323270639,0.9984463068989446
183,complete,3.626811667345464e-05,48,6,0.8330654228677831,1.080766482446991,0.009210078920764576,0.49841748301200944,2000,0.966376918550299,0.9906950979740716
185,complete,2.4278097043861635e-05,48,6,1.4647435173493446,1.1823902328906792,0.007789615053507489,0.4722854648696466,2000,0.9700357377804117,0.9992731025229447
186,complete,2.5957515390473418e-05,48,6,1.421350657924037,1.1984672744092342,0.008002291093505193,0.48604384847762094,2000,0.9701441992545946,0.9991136086441244
189,complete,2.0806999600608833e-05,48,6,1.545514637648578,1.1655948315291846,0.008021865112826706,0.48276005814576095,2000,0.9658294436364268,0.9993594542841526
192,complete,2.4156996005331166e-05,48,6,1.05354227578432,1.2647464363772059,0.008435989467469542,0.45002074203492304,2000,0.9648780914159835,0.9989270197066625
193,complete,2.8329168344498612e-05,48,6,1.1716598461980998,1.1394877623959907,0.008923215986292322,0.4950038214441551,2000,0.9648847098556869,0.9992172306984728
196,complete,2.0397168555064127e-05,48,6,1.5606865130156347,1.2273368161227738,0.009964576365925916,0.5161117445648657,2000,0.9612238712808123,0.9997790977813489
197,complete,2.941293678304646e-05,48,6,1.6147804936691774,1.1873898657242066,0.007063087831033633,0.43371555146390767,2000,0.9602154598400273,0.9996022204187506
199,complete,4.740005169878714e-05,48,6,1.1095443944325847,1.4082531720016458,0.009991083490367505,0.449655021432529,2000,0.9622081272602276,0.9993470072081675
