epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total,zeta_hat,omega_0_hat
50,0.02265102043747902,0.008090238086879253,0.008866844698786736,0.01886863447725773,0.11140037328004837,0.34679973125457764,0.5696457028388977
100,0.01769472472369671,0.014174926094710827,2.3959044483490288e-05,0.021401993930339813,0.018076064065098763,0.4044351875782013,0.5729236006736755
150,0.011308684945106506,0.019258882850408554,8.879406232153997e-05,0.01357435341924429,0.01238921470940113,0.4367640018463135,0.6696836948394775
200,0.010089633986353874,0.02388400211930275,2.6127956516575068e-05,0.008837723173201084,0.010589754208922386,0.502838134765625,0.7994243502616882
250,0.0065033636055886745,0.026222923770546913,1.5245124814100564e-05,0.006401850376278162,0.0069180442951619625,0.5974430441856384,0.9622921943664551
300,0.006944749504327774,0.02568216435611248,5.930378392804414e-06,0.005183237139135599,0.007260874845087528,0.670822262763977,1.1025437116622925
350,0.0046892124228179455,0.02794778160750866,1.805938154575415e-05,0.004412185866385698,0.005149283912032843,0.7078568339347839,1.2069929838180542
400,0.00627770833671093,0.026761511340737343,3.231486061849864e-06,0.003996226470917463,0.006577638443559408,0.763498067855835,1.3015832901000977
450,0.00299964495934546,0.026742279529571533,6.118526926002232e-06,0.0038030233699828386,0.003328253049403429,0.7885611653327942,1.3693296909332275
500,0.004230506252497435,0.026795802637934685,1.7533516256662551e-06,0.0036364870611578226,0.004515997599810362,0.8226417899131775,1.4307177066802979
550,0.004931625444442034,0.027954701334238052,1.8066353959511616e-06,0.00351341487839818,0.005229238886386156,0.8443560004234314,1.4697973728179932
600,0.0038609160110354424,0.02757848985493183,1.3202748050389346e-06,0.0034384143073111773,0.004149904008954763,0.8613049983978271,1.498380422592163
650,0.005306555889546871,0.027557983994483948,2.0740690160891972e-05,0.003355905879288912,0.005789542570710182,0.8899961113929749,1.539597988128662
700,0.0022485044319182634,0.026949647814035416,3.0026967579033226e-06,0.0032964395359158516,0.002548028016462922,0.8963602185249329,1.5544233322143555
750,0.004569705575704575,0.027482524514198303,8.894254278857261e-06,0.003298308700323105,0.004933473654091358,0.8980687856674194,1.6023458242416382
800,0.0021493942476809025,0.026306774467229843,1.4947427189326845e-06,0.0032105802092701197,0.002427409403026104,0.9405168294906616,1.6280514001846313
850,0.002277558669447899,0.027226857841014862,2.47711650445126e-05,0.003226633183658123,0.0027975388802587986,0.9561871886253357,1.6715983152389526
